term;definition;source
abintestato;"La transmisión según normas legales, de los derechos y obligaciones del causante <a href=""/entry/result/2217762/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:2217762</a> , por su muerte o presunción de su fallecimiento, cuando no deja testamento <a href=""/entry/result/1130370/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:1130370</a> , o éste resulta nulo o ineficaz.<br>La deferida por disposición de la ley a ciertos parientes del difunto, y en último caso al Estado, cuando se muere sin testamento alguno o carece de eficacia el hecho.";"Cabanellas, G.: Diccionario Enciclopédico de Derecho Usual, Heliasta, Buenos Aires, 1981 (voces ""sucesión intestada"" y ""sucesión legítima"")."
acreedor de la herencia;"En la herencia aceptada a beneficio de inventario <a href=""/entry/result/1130282/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:1130282</a> son  <b>acreedores de la herencia</b> los acreedores del causante <a href=""/entry/result/2217762/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:2217762</a> en primer lugar, seguidos de los legatarios <a href=""/entry/result/3538824/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:3538824</a> y de los acreedores de los herederos <a href=""/entry/result/83114/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:83114</a> .  <br>Cuando la aceptación de la herencia <a href=""/entry/result/1130479/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:1130479</a> es pura y simple no existe preferencia alguna de los acreedores en el derecho común. Lo que sí existe es una protección de los acreedores hereditarios reconocidos como tales, en cuanto les da la facultad de oponerse a que se lleve a efecto la partición de la herencia hasta que se les pague o afiance el importe de sus créditos.";"Consejo-ES; véanse: <br>1) Código Civil, arts. 1027, 1029, 1034 y 1082 (Gaceta de Madrid n.° 206 de 25-7-1889, p. 249) <a href=""http://www.boe.es/aeboe/consultas/bases_datos/doc.php?id=BOE-A-1889-4763"" target=""_blank"">http://www.boe.es/aeboe/consultas/bases_datos/doc.php?id=BOE-A-1889-4763</a> <br>2) Colegio de Abogados de Málaga, Jornadas sobre Derecho de Sucesiones, Conejo Ruiz, J.M.: Deudas de la Herencia y Deudas del Causante, punto VI.1.c) <a href=""http://knol.google.com/k/deudas-de-la-herencia-y-deudas-del-causante-bufete-conejo-abogados#"" target=""_blank"">http://knol.google.com/k/deudas-de-la-herencia-y-deudas-del-causante-bufete-conejo-abogados#</a>"Reglamento relativo a la competencia, el reconocimiento y la ejecución de resoluciones judiciales en materia matrimonial y de responsabilidad parental sobre los hijos comunes;"Sustituye al Convenio de Bruselas II <a href=""/entry/result/909273/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:909273</a> .";---
renuncia;Desistimiento o dejación voluntaria que una persona hace de un derecho, posesión, posición , título, etc. que le corresponden.;COM-ES
declaración que cumple los requisitos formales de las disposiciones por causa de muerte;"Declaración por la que el causante <a href=""/entry/result/2217762/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:2217762</a> de una sucesión <a href=""/entry/result/798044/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:798044</a> designa la ley por la que se regirá la totalidad de ésta.";"Consejo-ES; véase Conferencia de La Haya de Derecho Internacional Privado: Convenio sobre la Ley Aplicable a las Sucesiones por causa de Muerte (1989; aún no está en vigor), art. 5, apartados 1 y 2 <a href=""http://www.hcch.net/index_es.php?act=conventions.text&amp;cid=62"" target=""_blank"">http://www.hcch.net/index_es.php?act=conventions.text&amp;cid=62</a>"
poder;Acto o instrumento en que consta la facultad que alguien da a otra persona para que en lugar suyo y representándolo pueda ejecutar algo.;"<i>Diccionario de la lengua española</i>, Real Academia Española, 2014, <a href=""http://dle.rae.es/?id=TU1KCfY|TU2nLT0"" target=""_blank"">http://dle.rae.es/?id=TU1KCfY|TU2nLT0</a> [12.9.2017]"
Ley de Enjuiciamiento Civil;Conjunto de normas que regulan la sustanciación de los procesos judiciales en el orden jurisdiccional civil.;"Consejo-ES a partir de <a href=""https://www.boe.es/buscar/act.php?id=BOE-A-2000-323&amp;tn=1&amp;p=20200229"" target=""_blank"">Ley 1/2000, de 7 de enero, de Enjuiciamiento Civil, BOE n.º 7 de 8.1.2000<time datetime=""22.4.2020""> (22.4.2020)</time></a>"
renuncia a la herencia;"Renuncia de una sucesión legítima o <i>ab intestato</i> <a href=""/entry/result/1253166/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:1253166</a> . Manifestación expresa (...) de un heredero <a href=""/entry/result/83114/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:83114</a> voluntario, forzoso <a href=""/entry/result/1131737/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:1131737</a> o legítimo <a href=""/entry/result/1131732/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:1131732</a> que le priva de su condición de sucesor del causante <a href=""/entry/result/2217762/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:2217762</a> y borra los efectos del llamamiento hereditario.<br>La repudiación de la herencia deberá hacerse en instrumento público auténtico, o por escrito (...).";"Cabanellas, G.: Diccionario Enciclopédico de Derecho Usual, Heliasta, Buenos Aires, 1981;<br>Código Civil, art. 1008 (Gaceta de Madrid n.° 206 de 25-7-1889, p. 249) <a href=""http://www.boe.es/aeboe/consultas/bases_datos/doc.php?id=BOE-A-1889-4763"" target=""_blank"">http://www.boe.es/aeboe/consultas/bases_datos/doc.php?id=BOE-A-1889-4763</a>"
efecto jurídico;"1) El resultado que producirá un instrumento entre partes en sus derechos respectivos, o el resultado que producirá una norma jurídica <a href=""/entry/result/765116/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:765116</a> en relación con la legislación vigente, según se deducen del lenguaje empleado, la forma empleada u otros criterios. <br>2) ""efecto"": Lo que sigue por virtud de una causa.";"1) Consejo-ES (a partir de  <i>Black's Law Dictionary</i> (en inglés), West Group, 1999). <br>2) Villa-Real Molina, R.: Diccionario de Términos Jurídicos, Comares, Granada, 2006"
champerty;Financiación de un pleito por un tercero a cambio de una parte de lo recaudado.;"Cremades, Anne-Carole: ""La falta de recursos económicos para participar al arbitraje pactado"", apdo. 43, <i>Revista del Club Español del Arbitraje</i>, 8/2010, p. 151 <a href=""http://www.google.com/url?sa=t&amp;rct=j&amp;q=&amp;esrc=s&amp;frm=1&amp;source=web&amp;cd=82&amp;cad=rja&amp;uact=8&amp;ved=0CCQQFjABOFA&amp;url=http%3A%2F%2Fwww.swlegal.ch%2FCMSPages%2FGetFile.aspx%3Fdisposition%3Dattachment%26guid%3Daf05daf9-5290-49ed-b12a-23fa07665758&amp;ei=-_nkU-eaD8OwO-vAgdgJ&amp;usg=AFQjCNFe9dHZdYUs0K7W-mJ520T2khv8TA"" target=""_blank"">http://www.google.com/url?sa=t&amp;rct=j&amp;q=&amp;esrc=s&amp;frm=1&amp;source=web&amp;cd=82&amp;cad=rja&amp;uact=8&amp;ved=0CCQQFjABOFA&amp;url=http%3A%2F%2Fwww.swlegal.ch%2FCMSPages%2FGetFile.aspx%3Fdisposition%3Dattachment%26guid%3Daf05daf9-5290-49ed-b12a-23fa07665758&amp;ei=-_nkU-eaD8OwO-vAgdgJ&amp;usg=AFQjCNFe9dHZdYUs0K7W-mJ520T2khv8TA</a>"
pacto ilícito de cuota litis;Financiación de un pleito por un tercero a cambio de una parte de lo recaudado.;"Cremades, Anne-Carole: ""La falta de recursos económicos para participar al arbitraje pactado"", apdo. 43, <i>Revista del Club Español del Arbitraje</i>, 8/2010, p. 151 <a href=""http://www.google.com/url?sa=t&amp;rct=j&amp;q=&amp;esrc=s&amp;frm=1&amp;source=web&amp;cd=82&amp;cad=rja&amp;uact=8&amp;ved=0CCQQFjABOFA&amp;url=http%3A%2F%2Fwww.swlegal.ch%2FCMSPages%2FGetFile.aspx%3Fdisposition%3Dattachment%26guid%3Daf05daf9-5290-49ed-b12a-23fa07665758&amp;ei=-_nkU-eaD8OwO-vAgdgJ&amp;usg=AFQjCNFe9dHZdYUs0K7W-mJ520T2khv8TA"" target=""_blank"">http://www.google.com/url?sa=t&amp;rct=j&amp;q=&amp;esrc=s&amp;frm=1&amp;source=web&amp;cd=82&amp;cad=rja&amp;uact=8&amp;ved=0CCQQFjABOFA&amp;url=http%3A%2F%2Fwww.swlegal.ch%2FCMSPages%2FGetFile.aspx%3Fdisposition%3Dattachment%26guid%3Daf05daf9-5290-49ed-b12a-23fa07665758&amp;ei=-_nkU-eaD8OwO-vAgdgJ&amp;usg=AFQjCNFe9dHZdYUs0K7W-mJ520T2khv8TA</a>"
cuasidelito;"Acción u omisión con que se causa un daño o perjuicio a otro por propio descuido, imprudencia o impericia, sin deseo ni intención de producir un mal en la persona, en los bienes o en los derechos ajenos; y responsabilidad derivada de tal proceder. (...)<br>La divisoria entre <i>cuasidelito</i> y <i>delito</i> se encuentra en que en aquella primera figura se obra sin intención dolosa; aunque sí por impericia o negligencia, que causa daños o males de los que resulta, por ley, la obligación de resarcir. Se está ante la <i>responsabilidad civil</i> de índole extracontractual; ante lo que cabe calificar de <i>delito civil</i>.";Cabanellas, G.: Diccionario Enciclopédico de Derecho Usual, Heliasta, Buenos Aires, 1981
capacidad para testar;"Esta facultad constituye la regla; porque pueden hacer testamento <a href=""/entry/result/1130370/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:1130370</a> todos aquellos a quienes la ley no se lo prohíbe expresamente.<br>Tales incapaces son: 1.° los menores de cierta edad, a estos efectos suele ser la de 14 años; 2.° los que habitual o accidentalmente no se encuentren en su cabal juicio; 3.° el sordomudo que no sepa escribir.";"Cabanellas, G.: Diccionario Enciclopédico de Derecho Usual, Heliasta, Buenos Aires, 1981 (voz ""capacidad para testar"")<br>Código Civil español, libro tercero, título III, capítulo I, sección primera (Gaceta de Madrid n.° 206 de 25-7-1889, p. 249) <a href=""http://www.boe.es/aeboe/consultas/bases_datos/doc.php?id=BOE-A-1889-4763"" target=""_blank"">http://www.boe.es/aeboe/consultas/bases_datos/doc.php?id=BOE-A-1889-4763</a>"
consecuencia jurídica;"1) El resultado que producirá un instrumento entre partes en sus derechos respectivos, o el resultado que producirá una norma jurídica <a href=""/entry/result/765116/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:765116</a> en relación con la legislación vigente, según se deducen del lenguaje empleado, la forma empleada u otros criterios. <br>2) ""efecto"": Lo que sigue por virtud de una causa.";"1) Consejo-ES (a partir de <i>Black's Law Dictionary</i> (en inglés), West Group, 1999). <br>2) Villa-Real Molina, R.: Diccionario de Términos Jurídicos, Comares, Granada, 2006"
beneficiario;"Persona que recibe bienes o derechos en el contexto de una sucesión <a href=""/entry/result/798044/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:798044</a> .<br>En general, este concepto se refiere a los <b>herederos</b> <a href=""/entry/result/83114/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:83114</a> y los <b>legatarios</b> <a href=""/entry/result/3538824/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:3538824</a> .";Consejo-ES
sistema de legítima;"Régimen jurídico que contempla una reserva hereditaria (legítima) <a href=""/entry/result/1129524/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:1129524</a> para determinados herederos <a href=""/entry/result/83114/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:83114</a> , en general los descendientes del difunto <a href=""/entry/result/1550122/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:1550122</a> .";Consejo-ES
capacidad para suceder;"Pueden heredar cuantos no estén incapacitados; en principio, las criaturas abortivas y las asociaciones y corporaciones no permitidas por la ley.";Cabanellas, G.: Diccionario Enciclopédico de Derecho Usual, Heliasta, Buenos Aires, 1981
delito civil;"Acción u omisión con que se causa un daño o perjuicio a otro por propio descuido, imprudencia o impericia, sin deseo ni intención de producir un mal en la persona, en los bienes o en los derechos ajenos; y responsabilidad derivada de tal proceder. (...)<br>La divisoria entre <i>cuasidelito</i> y <i>delito</i> se encuentra en que en aquella primera figura se obra sin intención dolosa; aunque sí por impericia o negligencia, que causa daños o males de los que resulta, por ley, la obligación de resarcir. Se está ante la <i>responsabilidad civil</i> de índole extracontractual; ante lo que cabe calificar de <i>delito civil</i>.";Cabanellas, G.: Diccionario Enciclopédico de Derecho Usual, Heliasta, Buenos Aires, 1981
legatario;"Persona a quien por testamento [<a href=""/entry/result/1130370/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:1130370</a>] se deja en legado [<a href=""/entry/result/2146839/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:2146839</a>] un bien mueble.";"Consejo-ES; para el concepto de «legatario» en general: Cabanellas, G.: Diccionario Enciclopédico de Derecho Usual, Heliasta, Buenos Aires, 1981"
autoridad administrativa;Delegado del Poder ejecutivo, encargado de la gestión de los actos que interesan a la Administración pública para cumplimiento de sus fines, ejecutando y haciendo ejecutar las leyes y las disposiciones de la autoridad constituida.;Cabanellas, G.: Diccionario Enciclopédico de Derecho Usual, Heliasta, Buenos Aires, 1981.
heredero o legatario;"Expresión empleada en el Convenio de la Haya sobre la Ley Aplicable a las Sucesiones por Causa de Muerte <a href=""/entry/result/881243/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:881243</a> para incluir a todos los beneficiarios <a href=""/entry/result/873075/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:873075</a> de una sucesión.<br>El concepto de ""<b>legatario</b>"" <a href=""/entry/result/3538824/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:3538824</a> abarca tanto el que recibe en legado una cosa mueble <a href=""/entry/result/762913/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:762913</a> como el que recibe una cosa inmueble <a href=""/entry/result/3537987/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:3537987</a> .";Consejo-ES
heredero legal;"Persona física con vocación sucesoria <a href=""/entry/result/1133338/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:1133338</a> respecto de una sucesión determinada.";Consejo-ES
capacidad para disponer por testamento;"Esta facultad constituye la regla; porque pueden hacer testamento <a href=""/entry/result/1130370/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:1130370</a> todos aquellos a quienes la ley no se lo prohíbe expresamente.<br>Tales incapaces son: 1.° los menores de cierta edad, a estos efectos suele ser la de 14 años; 2.° los que habitual o accidentalmente no se encuentren en su cabal juicio; 3.° el sordomudo que no sepa escribir.";"Cabanellas, G.: Diccionario Enciclopédico de Derecho Usual, Heliasta, Buenos Aires, 1981 (voz ""capacidad para testar"")<br>Código Civil español, libro tercero, título III, capítulo I, sección primera (Gaceta de Madrid n.° 206 de 25-7-1889, p. 249) <a href=""http://www.boe.es/aeboe/consultas/bases_datos/doc.php?id=BOE-A-1889-4763"" target=""_blank"">http://www.boe.es/aeboe/consultas/bases_datos/doc.php?id=BOE-A-1889-4763</a>"
Registro de Actos de Última Voluntad;Registro en el que se inscriben los testamentos, con el fin de garantizar el conocimiento de su existencia bien una vez fallecidas las personas que los hubiesen otorgado, o bien en vida por los propios otorgantes.;"Sede electrónica del Ministerio de Justicia, sección de registros <a href=""http://www.mjusticia.es/cs/Satellite?c=OrgPaginaREG&amp;cid=1080215934511&amp;pagename=Portal_del_ciudadano%2FOrgPaginaREG%2FTpl_OrgPaginaREG"" target=""_blank"">http://www.mjusticia.es/cs/Satellite?c=OrgPaginaREG&amp;cid=1080215934511&amp;pagename=Portal_del_ciudadano%2FOrgPaginaREG%2FTpl_OrgPaginaREG</a>"
procedimiento escasa cuantía;Procedimiento de Derecho civil en el que una parte reclama a otra cantidades poco elevadas, inferiores a un límite marcado por la ley.;Consejo-ES
responsabilidad contractual;"La que se deriva del incumplimiento de una obligación <a href=""/entry/result/82208/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:82208</a> nacida de un contrato <a href=""/entry/result/829045/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:829045</a> .";Consejo-ES
norma jurídica;"<p>- Precepto jurídico de eficacia general impuesto por una fuerza social con poder de organización. Regla de conducta que constituye la unidad mínima del ordenamiento jurídico [ <a href=""/entry/result/773910/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:773910</a> ].</p><p>- Regla de conducta cuyo fin es el cumplimiento de un precepto legal.</p>";<p>- Fonseca-Herrero Raimundo, J.: Diccionario Jurídico Colex, Madrid, 2010</p><p>- Cabanellas, G.: Diccionario Enciclopédico de Derecho Usual, Heliasta, Buenos Aires, 1981.</p>
procedimiento provisional;"Procedimiento colectivo y supervisado por un tribunal que difiere del procedimiento de insolvencia <a href=""/entry/result/3536501/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:3536501</a> ordinario en que, de acuerdo con la legislación de algunos Estados miembros, estos procedimientos pueden ser abiertos y llevados a cabo durante un determinado periodo de tiempo de manera provisional antes de que un tribunal emita una orden que confirme la continuación de los procedimientos de manera no provisional.";"Consejo-ES; véase Propuesta de Reglamento por el que se modifica el Reglamento (CE) n.° 1346/2000 del Consejo sobre procedimientos de insolvencia, art. 1.1, nota 4 (doc. 9429/14 del Consejo) <a href=""http://register.consilium.europa.eu/doc/srv?l=ES&amp;f=ST%209429%202014%20INIT"" target=""_blank"">http://register.consilium.europa.eu/doc/srv?l=ES&amp;f=ST%209429%202014%20INIT</a>"
regla jurídica;"<p>- Precepto jurídico de eficacia general impuesto por una fuerza social con poder de organización. Regla de conducta que constituye la unidad mínima del ordenamiento jurídico [ <a href=""/entry/result/773910/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:773910</a> ].</p><p>- Regla de conducta cuyo fin es el cumplimiento de un precepto legal.</p>";<p>- Fonseca-Herrero Raimundo, J.: Diccionario Jurídico Colex, Madrid, 2010</p><p>- Cabanellas, G.: Diccionario Enciclopédico de Derecho Usual, Heliasta, Buenos Aires, 1981.</p>
deber de diligencia;Deber general [de cuidado y actividad en ejecutar una cosa] que acompaña a todos los actos de los que pueden derivarse daños.;Trivium, Diccionario de Derecho y Economía, 1998.
mayor edad;"1.- ""Mayoría de edad: Adquisición de la plena capacidad jurídica por el hecho de cumplir los años que la legislación de cada país requiera y en las diversas ramas del Derecho; si bien la establecida en el Derecho Civil es la genérica..."". 2.- ""Mayor edad: Como institución, uno de los sinónimos de mayoría de edad"".";Cabanellas, G.: Diccionario Enciclopédico de Derecho Usual, Heliasta, Buenos Aires, 1981
ab intestato;Locución adverbial referida a quien muere sin testar o con testamento ineficaz, al que hereda en todo o en parte sin disposición de última voluntad y a la sucesión que ello origina.;Cabanellas, G.: Diccionario Enciclopédico de Derecho Usual, Heliasta, Buenos Aires, 1981
aceptación a beneficio de inventario;"En general, se acoge al <b>beneficio de inventario</b> el llamado que acepta la herencia sin querer comprometer su patrimonio particular (...). Con este beneficio, el heredero consigue que el patrimonio del causante, o la parte de este patrimonio relicto que hereda, permanezca separado del patrimonio particular del heredero hasta que se haya pagado a todos los acreedores conocidos del causante <a href=""/entry/result/2217762/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:2217762</a> , a los legitimarios y a los legatarios. Hecho esto, y suponiendo que quede un remanente activo en la herencia, ingresará éste y se confundirá con el patrimonio del heredero (...).";Ribó, L.: Diccionario de Derecho, Bosch, Barcelona, 1987
anulación;Pérdida de su eficacia, por defecto de fondo o de forma, de un acto jurídico.<br>Por extensión, invalidez que se conviene o pacta de un acto en principio eficaz.;Ossorio, M.:Diccionario de Ciencias Jurídicas, Políticas y Sociales, Heliasta, Buenos Aires, 1987
fragmentación de la sucesión;En las sucesiones internacionales, situación en que los bienes muebles de un difunto están sometidos a la ley de su país de residencia mientras que sus bienes inmuebles están sujetos a la ley del país en que están situados.;"Consejo-ES; véase Red Judicial Europea, Estudio de Derecho comparado sobre las normas de conflicto de competencia y de conflicto de leyes relativas a los testamentos y sucesiones en los Estados miembros de la Unión Europea, Carrión de la Prada, P.: España <a href=""http://ec.europa.eu/civiljustice/publications/docs/report_conflits_espagne.pdf"" target=""_blank"">http://ec.europa.eu/civiljustice/publications/docs/report_conflits_espagne.pdf</a>"
desheredación;"Privación de la herencia <a href=""/entry/result/848094/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:848094</a> .<br>En este concepto cabe una graduación muy amplia. En efecto, la desheredación puede provenir de la ley, en cuyo caso constituye propiamente la indignidad para suceder <a href=""/entry/result/1133097/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:1133097</a> . Puede derivarse también de un descuido del testador <a href=""/entry/result/80201/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:80201</a> , hipótesis en la cual se denomina preterición. Pero, más propiamente, la desheredación es la expresa disposición testamentaria <a href=""/entry/result/3534954/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:3534954</a> que, fundada en las causas legales, despoja de sus derechos sucesorios <a href=""/entry/result/3536433/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:3536433</a> a un heredero legítimo o forzoso <a href=""/entry/result/1131737/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:1131737</a> .";Cabanellas, G.: Diccionario Enciclopédico de Derecho Usual, Heliasta, Buenos Aires, 1981
derecho de aceptar la herencia o renunciar a ella;"Potestad que la ley atribuye a una o más personas para aceptar <a href=""/entry/result/1130479/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:1130479</a> o repudiar <a href=""/entry/result/3509790/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:3509790</a> la herencia, a consecuencia de la apertura <a href=""/entry/result/1443667/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:1443667</a> y de la vocación sucesoria <a href=""/entry/result/1133338/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:1133338</a> .";Cabanellas, G.: Diccionario Enciclopédico de Derecho Usual, Heliasta, Buenos Aires, 1981
estirpe;"El término francés ""<i>lignée</i>"" equivale a dos conceptos distintos en Derecho sucesorio español:<br>1) ""<b>línea</b>"": En el contexto de la sucesión intestada <a href=""/entry/result/1253166/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:1253166</a> , la generación de grados de parentesco que determinan el derecho de sucesión <a href=""/entry/result/3536433/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:3536433</a> . Puede ser <b><i>recta</i></b> (descendente o ascendente) o <b><i>colateral</i></b>.<br>2) ""<b>estirpe</b>"": En materia hereditaria, sucesión por representación <a href=""/entry/result/1132810/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:1132810</a> ; o conjunto que forma la descendencia de un sujeto cuando ocupa su lugar y sucede conjuntamente por él.";"1) Consejo-ES; véanse<br>- Molina Porcel, M.: Derecho de Sucesiones, capítulo 6 - La sucesión intestada, punto 5.2 <a href=""http://www.difusionjuridica.com/HTML/inmueble/bibliopremium/www.bdigrupodifusion.es/verdocumentopr.php-n=3000&amp;d=lib119-6&amp;e=pdf.pdf"" target=""_blank"">http://www.difusionjuridica.com/HTML/inmueble/bibliopremium/www.bdigrupodifusion.es/verdocumentopr.php-n=3000&amp;d=lib119-6&amp;e=pdf.pdf</a> , y<br>- Universidad de Huelva, sitio de internet de UGT: Los grados de parentesco <a href=""http://www.uhu.es/ugt/grados.pdf"" target=""_blank"">http://www.uhu.es/ugt/grados.pdf</a> <br>2) Cabanellas, G.: Diccionario Enciclopédico de Derecho Usual, Heliasta, Buenos Aires, 1981"
usufructo;Derecho a disfrutar los bienes ajenos con la obligación de conservar su forma y sustancia, a no ser que el título de su constitución o la ley autoricen otra cosa.;"<i> <a href=""http://diccionarioempresarial.wolterskluwer.es/Content/Documento.aspx?params=H4sIAAAAAAAEAE1PwU7DMAz9mxxRh0DskktbDkiAphEQV7c1bbQsHrFTlr_HIztgybL9_Pz0_J0xFYdnsZnzV8qjkOESKZajdSmjERjYNgZGyRB6Gu3m0vsVHQyKU5owtUU7IYGwR7abxvBCP6-w-hnEU2whVS0_Tfbxs7nE7f324c6smFgJ9sPPGAXN4uflWVMqH5g9dxQlUXjS04Ho4Pqu4q6c0L6gQB33EGdUG4yQxmUHOqjbfFRdugE-nU2IB0Xe_vZXP_we9ROG8B-tCm0WUWeDxLozY9Dag2AHAeN0_ekXAk4XSEABAAA=WKE"" target=""_blank"">Diccionario Empresarial<time datetime=""26.11.2019""> (26.11.2019)</time></a></i>, Wolters Kluwer"
colación y reducción de liberalidades;"Obligación que existe en ciertos regímenes sucesorios de que, si el causante <a href=""/entry/result/2217762/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:2217762</a> hubiese incurrido en vida en liberalidades <a href=""/entry/result/761578/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:761578</a> [tanto en favor de herederos <a href=""/entry/result/83114/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:83114</a> forzosos <a href=""/entry/result/1131737/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:1131737</a> (dando lugar a su <b>colación</b>) como de extraños (dando lugar a su <b>reducción</b>)] que superasen la parte disponible <a href=""/entry/result/1132666/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:1132666</a> de la herencia, estas liberalidades se computen en la masa de la herencia <a href=""/entry/result/221254/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:221254</a> (constituyendo una masa ficticia a partir de la cual se calcula la legítima <a href=""/entry/result/1129524/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:1129524</a> y se efectúa la partición, reduciendo las liberalidades de forma que no superen la parte disponible).";"Consejo-ES; véanse:<br>- Código Civil español, art. 819 (Gaceta de Madrid n.° 206 de 25-7-1889, p. 249) <a href=""http://www.boe.es/aeboe/consultas/bases_datos/doc.php?id=BOE-A-1889-4763"" target=""_blank"">http://www.boe.es/aeboe/consultas/bases_datos/doc.php?id=BOE-A-1889-4763</a><br>- Hayton, D.: <i>European Succession Laws</i>, Jordan Publishing Ltd, 2002 (en inglés)<br>Instituto Max Planck de Derecho Comparado y de Derecho Internacional Privado (Heidelberg): Comentarios a la propuesta de Reglamento relativo a la competencia, la ley aplicable, el reconocimiento y la ejecución de las resoluciones y los actos auténticos en materia de sucesiones y a la creación de un certificado sucesorio europeo, puntos 175 a 177 (en inglés) <a href=""http://www.mpipriv.de/shared/data/pdf/mpi_comments_succession_proposa_upd.pdf"" target=""_blank"">http://www.mpipriv.de/shared/data/pdf/mpi_comments_succession_proposa_upd.pdf</a>"
persona física llamada por la ley a suceder;"Persona física con vocación sucesoria <a href=""/entry/result/1133338/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:1133338</a> respecto de una sucesión determinada.";Consejo-ES
