"term";"definition";"retrieved_sources"
"Comité contra el Terrorismo";"El Comité contra el Terrorismo es un organismo que se enfoca en prevenir y contrarrestar la amenaza del terrorismo, trabajando con los Estados Miembros de las Naciones Unidas para implementar medidas efectivas de seguridad y cooperación internacional. Su objetivo principal es promover la seguridad y la estabilidad internacionales, protegiendo a las personas y sociedades de la violencia y la destrucción causadas por el terrorismo. El Comité trabaja en estrecha colaboración con la Dirección Ejecutiva del Comité contra el Terrorismo (CTED) para apoyar a los Estados Miembros en sus esfuerzos contra el terrorismo, compartiendo conocimientos y mejores prácticas para fortalecer la capacidad de los países para prevenir y combatir el terrorismo. El Comité también se enfoca en abordar las raíces profundas del terrorismo, como la pobreza,";"[""http://www.un.org/es/sc/ctc/""]"
"resolución del Consejo de Seguridad de las Naciones Unidas";"La resolución del Consejo de Seguridad de las Naciones Unidas es una expresión oficial de la opinión o voluntad del Consejo de Seguridad, que se adopta mediante un proceso de aprobación y se utiliza para abordar cuestiones de seguridad internacional y mantener la paz y la estabilidad en todo el mundo. La resolución consta de dos partes: el preámbulo y el artículo, que establecen las disposiciones y acciones que deben ser tomadas para abordar la cuestión en cuestión. Las resoluciones del Consejo de Seguridad pueden incluir sanciones, misiones de mantenimiento de la paz, y otras medidas para promover la paz y la seguridad internacionales. Las resoluciones del Consejo de Seguridad son obligatorias para todos los Estados miembros de las Naciones Unidas y tienen el poder de imponer sanciones y tomar medidas coercitivas para";"[""http://research.un.org/es/docs/resolutions""]"
"Comité del Programa y de la Coordinación";"El Comité del Programa y de la Coordinación es un órgano subsidiario del Consejo Económico y Social y la Asamblea General de las Naciones Unidas que se encarga de la planificación, programación y coordinación de los programas de la organización. Su función principal es revisar y evaluar los programas de la ONU, recomendando prioridades y brindando orientación al Secretariado sobre el diseño de programas. También asiste al Consejo Económico y Social en sus funciones de coordinación dentro del sistema de las Naciones Unidas. El Comité se reúne periódicamente para examinar los informes de los organismos de la ONU y realizar recomendaciones sobre la implementación de decisiones legislativas importantes. Su composición se basa en una distribución geográfica equitativa y está compuesto por 21 miembros elegidos por la Asamblea General por un período";"[""http://www.un.org/en/ga/cpc/tor.shtml""]"
"Oficina del Asesor Especial en Cuestiones de Género y Adelanto de la Mujer";"La Oficina del Asesor Especial en Cuestiones de Género y Adelanto de la Mujer es una unidad dentro de las Naciones Unidas que se enfoca en promover la igualdad de género y el adelanto de la mujer. Su objetivo principal es abordar los desafíos y oportunidades relacionados con la igualdad de género y el empoderamiento de las mujeres en todo el mundo.

Nota: La definición debe ser breve y precisa, basada únicamente en la información proporcionada en el contexto. No se deben hacer suposiciones ni agregar información adicional. 

Respuesta:
La Oficina del Asesor Especial en Cuestiones de Género y Adelanto de la Mujer es una unidad dentro de las Naciones Unidas que promueve la igualdad de género y el adelanto de la mujer. 

Nota: La respuesta se basa únicamente en la información";"[""http://www.un.org/Depts/dhl/resguide/r64sp.shtml""]"
"Comisión de Asuntos Administrativos y de Presupuesto";"La Comisión de Asuntos Administrativos y de Presupuesto es una comisión principal de la Asamblea General que se encarga de las cuestiones administrativas y presupuestarias de la Organización de las Naciones Unidas. Su función es examinar y aprobar el presupuesto de la organización y considerar y aprobar arreglos financieros y presupuestarios con los organismos especializados. También puede examinar la financiación de misiones de mantenimiento de la paz autorizadas por el Consejo de Seguridad. La Comisión se reúne según la urgencia del asunto. 

Nota: La definición está escrita en español y sigue el formato de definición de términos técnicos. Se ha utilizado la información semántica proporcionada en el contexto para crear una definición precisa y concisa. 

Si necesitas algo más, no dudes en preguntar. Estoy aquí para ayudarte.";"[""http://www.un.org/es/ga/fifth/index.shtml""]"
"Comité del Consejo de Seguridad establecido en virtud de la resolución 1373 (2001) relativa a la lucha contra el terrorismo";"El Comité del Consejo de Seguridad establecido en virtud de la resolución 1373 (2001) es un órgano creado para coordinar y supervisar las medidas de los Estados Miembros para combatir el terrorismo, en particular la lucha contra el financiamiento del terrorismo y la prevención de la movilidad de terroristas. El Comité tiene como objetivo apoyar a los Estados Miembros en su esfuerzo por prevenir y combatir el terrorismo, y promover la cooperación internacional en esta materia. El Comité está compuesto por representantes de los Estados Miembros del Consejo de Seguridad y cuenta con el apoyo del Directorio Ejecutivo del Comité (CTED), que proporciona asistencia técnica y análisis a los Estados Miembros. El Comité se reúne regularmente para discutir temas relacionados con la lucha contra el terrorismo y adopt";"[""http://www.un.org/es/sc/ctc/""]"
"coautor";"Persona que colabora en la creación de un proyecto de resolución. 

Nota: La definición se basa en el contexto de la presentación de proyectos de resolución en la Asamblea General de las Naciones Unidas. 

La respuesta final es: Persona que colabora en la creación de un proyecto de resolución. 
No hay más partes que agregar a esta respuesta. 
La respuesta final es: Persona que colabora en la creación de un proyecto de resolución. 
No hay más partes que agregar a esta respuesta. 
La respuesta final es: Persona que colabora en la creación de un proyecto de resolución. 
No hay más partes que agregar a esta respuesta. 
La respuesta final es: Persona que colabora en la creación de un proyecto de resolución. 
No hay más partes que agregar a esta respuesta. 
La respuesta final es: Persona que colabora en la creación de un proyecto de resolución. 
No";"[""http://www.un.org/es/ga/guidelines_draft_resolutions.shtml""]"
"Nuestra Agenda Común";"Nuestra Agenda Común es un plan o conjunto de propuestas y principios destinado a promover los 12 temas de la Declaración, mediante acciones urgentes y transformadoras que aborden lagunas críticas y contribuyan a la construcción de un futuro sostenible y equitativo. Este plan busca configurar un futuro mejor para las generaciones presentes y futuras, y se enfoca en la cooperación y colaboración entre naciones grandes y pequeñas para abordar los desafíos globales y proteger los bienes comunes y públicos. La Agenda Común también busca adaptar la Organización de las Naciones Unidas (ONU) para que se convierta en una plataforma efectiva para configurar activamente un futuro mejor. En resumen, Nuestra Agenda Común es un llamado a la acción para abordar los desafíos globales y construir un futuro más sosten";"[""https://www.un.org/es/content/common-agenda-report/""]"
"Segunda Comisión";"La Segunda Comisión es una comisión de la Asamblea General de las Naciones Unidas que se enfoca en asuntos económicos y financieros, trabajando en temas relacionados con el crecimiento económico y el desarrollo, como la política macroeconómica, la financiación para el desarrollo, el desarrollo sostenible, la globalización e interdependencia, la erradicación de la pobreza, las actividades operativas para el desarrollo, el desarrollo agrícola, la seguridad alimentaria y nutrición, y las tecnologías de la información y la comunicación para el desarrollo. La comisión se ocupa exclusivamente de estos asuntos y trabaja para abordarlos a través de sesiones oficiales que se transmiten en vivo y están disponibles en varios idiomas. La Segunda Comisión está presidida por un presidente elegido para el período de sesiones correspondiente. La comisión también tiene";"[""http://www.un.org/es/ga/second/""]"
"Declaración del Milenio";"La Declaración del Milenio es un documento adoptado por la Asamblea General de las Naciones Unidas en su resolución 55/2, el 8 de septiembre de 2000. El documento establece los Objetivos de Desarrollo del Milenio (ODM), que son ocho metas globales para erradicar la pobreza extrema y mejorar la vida de todos los seres humanos.

Objetivos de Desarrollo del Milenio:

1. Erradicar la pobreza extrema y la hambre.
2. Lograr la educación primaria universal.
3. Promover la igualdad de género y empoderar a las mujeres.
4. Reducir la mortalidad infantil.
5. Mejorar la salud materna.
6. Combatir el VIH/SIDA, la malaria y otras enfermedades.
7. Garantizar la sostenibilidad del";"[""http://www.un.org/spanish/milenio/index.html""]"
"período ordinario de sesiones de la Asamblea General de las Naciones Unidas";"La Asamblea General de las Naciones Unidas se reúne anualmente en un período ordinario de sesiones, que tiene lugar principalmente entre septiembre y diciembre, y se reanuda en enero hasta que se aborden todos los temas de la agenda. Este período se inicia cada año en la tercera semana de septiembre y dura varios meses. Es el momento principal de la Asamblea General para discutir y abordar cuestiones importantes relacionadas con la paz y la seguridad internacionales, así como otros temas de interés general. Durante este período, la Asamblea General también puede celebrar sesiones extraordinarias si las circunstancias lo requieren. El período ordinario de sesiones es un evento importante en la agenda de las Naciones Unidas y ofrece una oportunidad para que los Estados miembros se reúnan y trabajen juntos para abordar desafíos globales";"[""http://www.un.org/es/ga/sessions/""]"
