"term";"definition";"retrieved_sources"
"Comité contra el Terrorismo";"";"[""http://www.un.org/es/sc/ctc/""]"
"resolución del Consejo de Seguridad de las Naciones Unidas";"";"[""http://research.un.org/es/docs/resolutions""]"
"Comité del Programa y de la Coordinación";"El Comité del Programa y de la Coordinación es un órgano subsidiario del Consejo Económico y Social y de la Asamblea General de las Naciones Unidas. Su función principal es la de planificar, programar y coordinar los programas de las Naciones Unidas. En particular, el Comité revisa los planes de mediano plazo de las Naciones Unidas y recomienda un orden de prioridad entre los programas de las Naciones Unidas. Además, el Comité ayuda al Consejo Económico y Social a cumplir sus funciones de coordinación dentro del sistema de las Naciones Unidas. Para cumplir estas responsabilidades, el Comité estudia los informes del Comité Administrativo y de Coordinación, los informes de las organizaciones de las Naciones Unidas, los informes";"[""http://www.un.org/en/ga/cpc/tor.shtml""]"
"Oficina del Asesor Especial en Cuestiones de Género y Adelanto de la Mujer";"The Office of the Special Adviser on Gender Issues and Advancement of Women (OSAGI) was established in 1997 by the Secretary-General to provide him with advice on gender issues and to coordinate the activities of the United Nations system in this area. The Office is headed by the Special Adviser on Gender Issues and Advancement of Women, who reports directly to the Secretary-General.";"[""http://www.un.org/Depts/dhl/resguide/r64sp.shtml""]"
"Comisión de Asuntos Administrativos y de Presupuesto";"";"[""http://www.un.org/es/ga/fifth/index.shtml""]"
"Comité del Consejo de Seguridad establecido en virtud de la resolución 1373 (2001) relativa a la lucha contra el terrorismo";"";"[""http://www.un.org/es/sc/ctc/""]"
"coautor";"COAUTOR:";"[""http://www.un.org/es/ga/guidelines_draft_resolutions.shtml""]"
"Nuestra Agenda Común";"";"[""https://www.un.org/es/content/common-agenda-report/""]"
"Segunda Comisión";"La Segunda ComisiÃ³n es un organismo de la Asamblea General de las Naciones Unidas que se encarga de los asuntos econÃ³micos y financieros. Su objetivo es promover el crecimiento econÃ³mico y el desarrollo, así como la erradicaciÃ³n de la pobreza. La Segunda ComisiÃ³n trabaja en temas relacionados con la polÃ­tica macroeconÃ³mica, la financiaciÃ³n para el desarrollo, el desarrollo sostenible, la globalizaciÃ³n e interdependencia, la erradicaciÃ³n de la pobreza, las actividades operativas para el desarrollo, el desarrollo agrÃ­cola, la seguridad alimentaria y la nutriciÃ³n, y las tecnologÃ­";"[""http://www.un.org/es/ga/second/""]"
"Declaración del Milenio";"";"[""http://www.un.org/spanish/milenio/index.html""]"
"período ordinario de sesiones de la Asamblea General de las Naciones Unidas";"";"[""http://www.un.org/es/ga/sessions/""]"
