term;definition;source;info_semantica
coeficiente de compresibilidad;## coeficiente de compresibilidad ### ciencias naturales #### física - 1. (física) coeficiente de compresibilidad (physics) the ratio of the change in.;Termcat;Variants: coeficiente de compresibilidad | Domains: SCIENCE | Context: disminución del volumen por unidad de volumen de una sustancia como resultante de un aumento de la unidad de presión | Ref: Termcat
yema;"## yema ### ciencias naturales 1. (biology) the embryonic disc of a bird or reptile from which the limbs and other parts develop; ""the chick's yolk sa.";COM-ES, a partir de Wikipedia.[9.4.2013];Variants: yema | Domains: SCIENCE | Context: En botánica, órgano complejo de las plantas que se forma habitualmente en la axila de las hojas (yema axilar o lateral) o en la punta de una ramilla (yema terminal), a modo de botón escamoso, y que dará lugar a hojas (foliíferas) y flores (floríferas). | Ref: COM-ES, a partir de Wikipedia.[9.4.2013]
valor de la bibliografía;## valor de la bibliografía ### Definición de valor de la bibliografía Bibliography is the study of books and other written materials, especially thos.;"Consejo-ES, a partir de:<div>-Council-EN</div><div>- Reference.com &gt;<a href=""https://www.reference.com/science/literature-value-chemistry-ae1d07a4222e23a9"" target=""_blank"">What Is a “literature Value” in Chemistry?</a><time datetime=""17.4.2023""> (17.4.2023)</time></div>";"Variants: valor de la bibliografía | Domains: SCIENCE | Context: En el ámbito científico, valor aceptado de una medición constante o experimental que se puede encontrar en la bibliografía especializada y que es necesario para realizar cálculos experimentales o teóricos en el laboratorio. | Ref: Consejo-ES, a partir de:<div>-Council-EN</div><div>- Reference.com &gt;<a href=""https://www.reference.com/science/literature-value-chemistry-ae1d07a4222e23a9"" target=""_blank"">What Is a “literature Value” in Chemistry?</a><time datetime=""17.4.2023""> (17.4.2023)</time></div>"
liofilizado;## liofilizacion ### Definición de liofilización Liofilización es un proceso de secado que se utiliza para la conservación de sustancias biológicas, c.;Bacteriología general: principios y prácticas de laboratorio. Evelyn Rodríguez Cavallini. Editorial Universidad de Costa Rica, San José (Costa Rica), 2005.;"Variants: liofilizado | Domains: SCIENCE | Context: Proceso de eliminación de agua mediante sublimación a presión reducida; los materiales que se van a liofilizar primero se congelan y luego se colocan en una cámara en la cual se hace un vacío parcial. Así se evitan los daños químicos por la desecación en calor. | Ref: Bacteriología general: principios y prácticas de laboratorio. Evelyn Rodríguez Cavallini. Editorial Universidad de Costa Rica, San José (Costa Rica), 2005."
agentes estimulantes;1. 2. 3. 4. 5. 6. 7. 8. 9. 10. 11. 12. 13. 14. 15. 16. 17. 18. 19. 20. 21. 22. 23. 24. 25. 26. 27. 28. 29. 30. 31. 32. 33. 34.;ICID-Comité Español de Riegos y Drenajes, 1977;Variants: agentes estimulantes | Domains: SCIENCE | Context: agentes activos que producen cambios definidos en la planta | Ref: ICID-Comité Español de Riegos y Drenajes, 1977
talófitas (criptógamas);Talofitas son plantas que se encuentran en ambientes acuáticos, como lagos, ríos o marismas. Son plantas pequeñas, con tallos cortos y hojas finas. Se.;ICID-Comité Español de Riegos y Drenajes, 1977;Variants: talófitas (criptógamas) | Domains: SCIENCE | Context: una de las principales divisiones del orden vegetal. Comprende los hongos, las algas, las bacterias y numerosos grupos pequeños. El cuerpo de estos vegetales es un talo cuya complejidad es muy variable, no produciendo ni flores ni granos | Ref: ICID-Comité Español de Riegos y Drenajes, 1977
zona de influencia;1. 2. 3. 4. 5. 6. 7. 8. 9. 10. 11. 12. 13. 14. 15. 16. 17. 18. 19. 20. 21. 22. 23. 24. 25. 26. 27. 28. 29. 30. 31. 32. 33. 34.;ICID-Comité Español de Riegos y Drenajes, 1977;Variants: zona de influencia | Domains: SCIENCE | Context: superficie en planta cubierta por las curvas meridianas del cono de depresión de un determinado pozo de extracción, o de una combinación de pozos, en un punto determinado. La zona de influencia para un determinado caudal puede variar con el tiempo de bombeo y el caudal de alimentación | Ref: ICID-Comité Español de Riegos y Drenajes, 1977
tafonomía;Tafonomía es la ciencia que estudia los procesos de descomposición de los restos fósiles, desde su formación hasta su preservación. Ejemplo: La tafono.;Fernández-López S., 1995. Taphonomie et interprétation des paléoenvironnements. Geobios, M. S. 18, 137-154. Explorador de la Gravedad y de la Circulación Oceánica.;Variants: tafonomía | Domains: SCIENCE | Context: Estudio de los procesos de fosilización y de la formación de los yacimientos de fósiles. | Ref: Fernández-López S., 1995. Taphonomie et interprétation des paléoenvironnements. Geobios, M. S. 18, 137-154. Explorador de la Gravedad y de la Circulación Oceánica.
índice de productividad de la vegetación;## índice de productividad de la vegetación ### Definición The net primary productivity (NPP) is the amount of carbon fixed by plants in a given area .;"COM-ES, basado en:  <br>Copernicus Global Land Service &gt; Products &gt; Vegetation &gt; Vegetation Productivity Index, <a href=""https://land.copernicus.eu/global/products/vpi"" target=""_blank"">https://land.copernicus.eu/global/products/vpi</a> [24.1.2019]";"Variants: índice de productividad de la vegetación | Domains: SCIENCE | Context: Indicador que evalúa el estado de una masa vegetal comparando el valor actual del NDVI con su valor promedio durante un periodo dado. | Ref: COM-ES, basado en:  <br>Copernicus Global Land Service &gt; Products &gt; Vegetation &gt; Vegetation Productivity Index, <a href=""https://land.copernicus.eu/global/products/vpi"" target=""_blank"">https://land.copernicus.eu/global/products/vpi</a> [24.1.2019]"
función objetiva;## función objetiva ### ciencias naturales #### definición - (mathematics) A function is a relation between two sets of objects such that each object .;J.A. Alonso y J.M. Otero, Ingenieros;Variants: función objetiva | Domains: SCIENCE | Context: en un programa no lineal, función, que expresa condiciones dadas para un sistema, que se quiere hacer mínima sometida a determinados vínculos | Ref: J.A. Alonso y J.M. Otero, Ingenieros
humedad relativa;Humedad relativa es la proporción de humedad existente en una masa de aire, expresada como porcentaje del máximo teórico de humedad que puede contener.;Glosario multilingüe de protección civil 1990,Grupo de Trabajo Comisión Europea/Estados Miembros;Variants: humedad relativa | Domains: SCIENCE | Context: razón que guarda la presión real de vapor de un espacio, a una temperatura determinada, con la presión de saturación que correspondería a esa misma temperatura | Ref: Glosario multilingüe de protección civil 1990,Grupo de Trabajo Comisión Europea/Estados Miembros
efecto determinista;Efecto determinista es la idea de que todo lo que ocurre en el universo se puede predecir con exactitud, ya sea a través del estudio de las leyes físi.;Glosario CE-Garantía de calidad y protección radiológica en radiodiagnóstico, 1999;Variants: efecto determinista | Domains: SCIENCE | Context: efecto biológico de la radiación para el que generalmente existe un nivel umbral de dosis por encima del cual la gravedad del efecto es mayor cuanto más elevada es la dosis | Ref: Glosario CE-Garantía de calidad y protección radiológica en radiodiagnóstico, 1999
clinómetro;## Clinómetro Un clinómetro es un instrumento que mide la inclinación de una superficie, como por ejemplo la pendiente de una carretera o la pendiente.;Gran enciclopedia Larousse, 1988;Variants: clinómetro | Domains: SCIENCE | Context: instrumento para medir ángulos | Ref: Gran enciclopedia Larousse, 1988
índice de refracción;## índice de refracción ### Definición y sinónimos de índice de refracción - Refractive index (noun) The ratio of the speed of light in a vacuum to it.;Diccionario de química física. J. M. Costa. Ediciones Díaz de Santos, Barcelona (España), 2005.;Variants: índice de refracción | Domains: SCIENCE | Context: Relación entre la velocidad de la luz en el vacío y la velocidad de la luz en un medio determinado, según la ecuación: n=c<sub>0/c</sub> | Ref: Diccionario de química física. J. M. Costa. Ediciones Díaz de Santos, Barcelona (España), 2005.
mancha solar;## mancha solar ### Definición y sinónimos de mancha solar - mancha solar (Synonyms) ### Traducciones de mancha solar Translation of mancha solar to 2.;Glos prov telec;Variants: mancha solar | Domains: SCIENCE | Context: porción relativamente fría de la fotosfera del Sol. Se presenta en forma de mancha obscura y generalmente esta asociada con tormentas magnéticas en la Tierra que afectan las radiocomunicaciones | Ref: Glos prov telec
cuerpo celeste;"## cuerpo celeste ### ciencias naturales #### definición - 1. (astronomy) a body that is visible in the sky, such as a star or planet; ""the sun is a s.";«Cuerpo celeste», Real Academia de Ciencias Exactas, Físicas y Naturales, <i>Vocabulario científico y técnico</i>, tercera edición, Espasa, Madrid, 1996, p. 275.;Variants: cuerpo celeste | Domains: SCIENCE | Context: Cualquier cuerpo exterior a la Tierra, lo cual incluye, por extensión, cualquier satélite artificial, sonda o vehículo espacial. | Ref: «Cuerpo celeste», Real Academia de Ciencias Exactas, Físicas y Naturales, <i>Vocabulario científico y técnico</i>, tercera edición, Espasa, Madrid, 1996, p. 275.
espectro visible;## espectro visible ### ciencias naturales #### definición - The range of wavelengths of electromagnetic radiation that can be detected by the human e.;CCIR I 681;Variants: espectro visible | Domains: SCIENCE | Context: dominio espectral de radiación electromagnética con longitudes de onda comprendidas entre los límites de 380 y 780 nanómetros (nm), y que comprende los siete colores del arco iris: violado, añil, azul, verde, amarillo, anaranjado y rojo | Ref: CCIR I 681
ola;## ola ### ciencias naturales 1. (física) Una onda de agua que se propaga sobre la superficie del mar, río, lago, etc. 2. (física) Una onda electromag.;Glosario multilingüe de protección civil 1990,Grupo de Trabajo Comisión Europea/Estados Miembros;Variants: ola | Domains: SCIENCE | Context: alteración de la línea de superficie del mar causada por vientos locales y representada numéricamente mediante la escala Douglas | Ref: Glosario multilingüe de protección civil 1990,Grupo de Trabajo Comisión Europea/Estados Miembros
angélica de los bosques;## angélica de los bosques ### (botánica) #### Sinónimos: - Angelica sylvestris - Angelica silvestris - Angelica officinalis - Angelica archangelica -.;TERMCAT;"Variants: angélica de los bosques | Domains: SCIENCE | Context: planta de hasta 2 m de altura con tallos fistulosos y hojas que se consumen como verdura, y con un fruto que tiene propiedades insecticidas; se localiza en Europa, Oeste de Asia y Norteamérica | Ref: TERMCAT"
teoría del control;Teoría del control Ejemplos de uso: 1. La teoría del control es una teoría que se utiliza para explicar cómo los organismos controlan sus procesos int.;"Consejo-ES, a partir de:<div>Simrock,, S.: <i><a href=""https://cds.cern.ch/record/1100534/files/p73.pdf"" target=""_blank"">Control theory<time datetime=""6.7.2021""> (6.7.2021)</time></a></i></div>";"Variants: teoría del control | Domains: SCIENCE | Context: En los campos de la ingeniería y las matemáticas, teoría que se ocupa del comportamiento de los sistemas dinámicos. | Ref: Consejo-ES, a partir de:<div>Simrock,, S.: <i><a href=""https://cds.cern.ch/record/1100534/files/p73.pdf"" target=""_blank"">Control theory<time datetime=""6.7.2021""> (6.7.2021)</time></a></i></div>"
cuerpo negro;Cuerpo negro es una superficie que absorbe la totalidad de la radiación electromagnética incidente, sin reflejar ninguna parte de ella. La radiación e.;TERMCAT;Variants: cuerpo negro | Domains: SCIENCE | Context: cuerpo ideal que absorbe toda la radiación incidente, sin reflejar nada de ella | Ref: TERMCAT
VPI;1. 2. 3. 4. 5. 6. 7. 8. 9. 10. 11. 12. 13. 14. 15. 16. 17. 18. 19. 20. 21. 22. 23. 24. 25. 26. 27. 28. 29. 30. 31. 32. 33. 34.;"COM-ES, basado en: <br>Copernicus Global Land Service &gt; Products &gt; Vegetation &gt; Vegetation Productivity Index, <a href=""https://land.copernicus.eu/global/products/vpi"" target=""_blank"">https://land.copernicus.eu/global/products/vpi</a> [24.1.2019]";"Variants: VPI | Domains: SCIENCE | Context: Indicador que evalúa el estado de una masa vegetal comparando el valor actual del NDVI con su valor promedio durante un periodo dado. | Ref: COM-ES, basado en: <br>Copernicus Global Land Service &gt; Products &gt; Vegetation &gt; Vegetation Productivity Index, <a href=""https://land.copernicus.eu/global/products/vpi"" target=""_blank"">https://land.copernicus.eu/global/products/vpi</a> [24.1.2019]"
entrelazamiento;## entrelazamiento ### ciencias naturales #### definición - The interlacing of two or more strands of material, such as rope, wire, or hair. - The int.;"<div>COM-ES, basado en_</div><div>Wikipedia, <a href=""https://es.wikipedia.org/wiki/Entrelazamiento_cu%C3%A1ntico"" target=""_blank"">«entrelazamiento cuántico»<time datetime=""2.4.2020""> (2.4.2020)</time></a><br></div>";"Variants: entrelazamiento | Domains: SCIENCE | Context: Fenómeno cuántico  en el cual los estados cuánticos de dos o más objetos se deben describir  mediante un estado único que involucra a todos los objetos del sistema, aun  cuando los objetos estén separados espacialmente, lo que lleva a  correlaciones entre las propiedades físicas observables. | Ref: <div>COM-ES, basado en_</div><div>Wikipedia, <a href=""https://es.wikipedia.org/wiki/Entrelazamiento_cu%C3%A1ntico"" target=""_blank"">«entrelazamiento cuántico»<time datetime=""2.4.2020""> (2.4.2020)</time></a><br></div>"
selección con ayuda de marcadores;## selección con ayuda de marcadores ### definición #### ciencias naturales La selección con ayuda de marcadores es una técnica que se utiliza en la g.;"Greenpeace, Selección asistida por marcadores: una biotecnología no invasiva alternativa a la ingeniería genética (2009) <a href=""http://www.greenpeace.org/espana/Global/espana/report/other/selecci-n-asistida-por-marcado.pdf"" target=""_blank"">http://www.greenpeace.org/espana/Global/espana/report/other/selecci-n-asistida-por-marcado.pdf</a> [9.5.2016]";"Variants: selección con ayuda de marcadores | Domains: SCIENCE | Context: Técnica moderna de mejora vegetal que no implica la transferencia de secuencias genéticas aisladas, como la ingeniería genética, sino que ofrece herramientas para seleccionar de manera dirigida el material vegetal existente, facilitando el proceso de mejora vegetal. | Ref: Greenpeace, Selección asistida por marcadores: una biotecnología no invasiva alternativa a la ingeniería genética (2009) <a href=""http://www.greenpeace.org/espana/Global/espana/report/other/selecci-n-asistida-por-marcado.pdf"" target=""_blank"">http://www.greenpeace.org/espana/Global/espana/report/other/selecci-n-asistida-por-marcado.pdf</a> [9.5.2016]"
organismos coliformes;## Organismos coliformes Los organismos coliformes son una clase de bacterias que se encuentran en la mayoría de los animales, incluidas las personas.;Dicc. de Términos Medioambientales, Área Editorial, S.A., Diario Expansión, Madrid, 1992;Variants: organismos coliformes | Domains: SCIENCE | Context: grupo de bacterias aerobias y facultativamente anaerobias, Gram-negativas, no esporulantes, fermentadoras de lactosa y habitantes típicas del intestino grueso humano y animal | Ref: Dicc. de Términos Medioambientales, Área Editorial, S.A., Diario Expansión, Madrid, 1992
byssus;1 0 # byssus [bɪˈsʌs] n. m. 1. (Zool.) El hilo de seda que produce la ostra, usado para tejer las telas más finas. 2. (Bot.) La fibra de algodón que s.;Arancel Aduanero Notex CCD 50.00;Variants: byssus | Domains: SCIENCE | Context: filamentos que sirven de órgano de fijación a ciertos moluscos del género Pinna | Ref: Arancel Aduanero Notex CCD 50.00
esfera celeste;"## esfera celeste ### Definición y Origen The term ""celestial sphere"" refers to the imaginary surface that represents the sky as seen from a particula.";Diccionario de la Real Academia Española (DRAE), XXIIª edición;Variants: esfera celeste | Domains: SCIENCE | Context: Esfera ideal, concéntrica con la terráquea, y en la cual se mueven aparentemente los astros. | Ref: Diccionario de la Real Academia Española (DRAE), XXIIª edición
limícola;## limícola ### Definición y sinónimos de limícola Sinónimos de limícola ### Ejemplos de uso Ejemplos de limícola ### Traducciones de limícola Traducc.;DRAE, 1995;Variants: limícola | Domains: SCIENCE | Context: que vive en el limo, barro o lodo | Ref: DRAE, 1995
amento;"## amento ### Noun amento (plural amentos) 1. (botany, zoology) A bud or shoot; a young branch or twig. 2. (zoology) The part of the body that is to b.";"<a href=""http://www.unex.es/botanica/queplantaes/glosario.htm,"" target=""_blank"">http://www.unex.es/botanica/queplantaes/glosario.htm,</a> 30.04.2003";"Variants: amento | Domains: SCIENCE | Context: inflorescencia racimosa formada por flores unisexuales, a menujdo sin perianto o muy reducido, dispuestas sobre un eje generalmente de péndulo y colgante | Ref: <a href=""http://www.unex.es/botanica/queplantaes/glosario.htm,"" target=""_blank"">http://www.unex.es/botanica/queplantaes/glosario.htm,</a> 30.04.2003"
detección fotométrica;## detección fotométrica (fotometry) The process of detecting and measuring the intensity of light from a source, such as a star or galaxy. The photom.;Principios de análisis instrumental. Douglas A. Skoog, F. James Holler, Timothy A. Nieman. McGraw-Hill, quinta edición, Madrid (España), 2001.;Variants: detección fotométrica | Domains: SCIENCE | Context: Detección basada en una propiedad del soluto como es la absorbancia en el ultravioleta. | Ref: Principios de análisis instrumental. Douglas A. Skoog, F. James Holler, Timothy A. Nieman. McGraw-Hill, quinta edición, Madrid (España), 2001.
hidrastis;1. 2. 3. 4. 5. 6. 7. 8. 9. 10. 11. 12. 13. 14. 15. 16. 17. 18. 19. 20. 21. 22. 23. 24. 25. 26. 27. 28. 29. 30. 31. 32. 33. 34.;Consejo Superior de Investigaciones Científicas, CSIC (22-10-2011);Variants: hidrastis | Domains: SCIENCE | Context: Especie de la familia Ranunculaceae, empleada en fitoterapia como hemostática (eficaz para detener una hemorragia). | Ref: Consejo Superior de Investigaciones Científicas, CSIC (22-10-2011)
física atmosférica;## física atmosférica ### Definición de física atmosférica La física atmosférica es la rama de la física que estudia las propiedades físicas de la atm.;Experto español en la materia.;Variants: física atmosférica | Domains: SCIENCE | Context: Estudio de los fenómenos físicos de la atmósfera. | Ref: Experto español en la materia.
resistencia específica a la tracción;## res·is·tance to trac·tion (rĕz'ĭ-stəns, -sĭ-stān's) The force required to move an object over a surface. Synonym(s): friction (2). [L. resistere, t.;"Reglamento (CE) n.º 428/2009 del Consejo, de 5 de mayo de 2009, por el que se establece un régimen comunitario de control de las exportaciones, la transferencia, el corretaje y el tránsito de productos de doble uso, <a href=""http://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:32009R0428"" target=""_blank"">CELEX:32009R0428/ES</a>";"Variants: resistencia específica a la tracción | Domains: SCIENCE | Context: Resistencia a la tracción en pascales, equivalente a N/m<sup>2</sup> divididos por el peso específico en N/m<sup>3</sup>, medido a una temperatura de (296 ± 2) K ((23 ± 2) °C) y una humedad relativa del (50 ± 5)%. | Ref: Reglamento (CE) n.º 428/2009 del Consejo, de 5 de mayo de 2009, por el que se establece un régimen comunitario de control de las exportaciones, la transferencia, el corretaje y el tránsito de productos de doble uso, <a href=""http://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:32009R0428"" target=""_blank"">CELEX:32009R0428/ES</a>"
fotogrametría;Fotogrametría es la ciencia que estudia los métodos de obtención, procesamiento y análisis de imágenes fotográficas con fines científicos o comerciale.;PANAREDA, J.M. et al..Diccionari de cartografía, 1994;Variants: fotogrametría | Domains: SCIENCE | Context: conjunto de métodos y de operaciones que permiten la confección de mapas y planos, incluida la determinación de la tercera dimensión, a partir de fotografías estereoscópicas | Ref: PANAREDA, J.M. et al..Diccionari de cartografía, 1994
sarracenia purpúrea;Sarracenia purpurea, commonly known as the purple pitcher plant or purple pitcher, is a carnivorous plant in the genus Sarracenia. It is native to the.;"Compendio de la flora española. Botánica descriptiva. Blas Lázaro e Ibiza. Tomo 2, pag 325. <a href=""http://bibdigital.rjb.csic.es/spa/Libro.php?Libro=694&amp;Pagina=1"" target=""_blank"">http://bibdigital.rjb.csic.es/spa/Libro.php?Libro=694&amp;Pagina=1</a> (22-10-2011)";"Variants: sarracenia purpúrea | Domains: SCIENCE | Context: Planta carnívora, perenne del Canadá con hojas radicales teñidas de rojo en los nervios y en los bordes, ahuecadas en forma de cucurucho, y flores grandes, purpúreas por fuera y verdes por dentro. | Ref: Compendio de la flora española. Botánica descriptiva. Blas Lázaro e Ibiza. Tomo 2, pag 325. <a href=""http://bibdigital.rjb.csic.es/spa/Libro.php?Libro=694&amp;Pagina=1"" target=""_blank"">http://bibdigital.rjb.csic.es/spa/Libro.php?Libro=694&amp;Pagina=1</a> (22-10-2011)"
magnitud física;Magnitud física es una cantidad que puede ser medida, por ejemplo la masa o la temperatura. Las magnitudes físicas son aquellas cuyos valores pueden s.;ICID-Comité Español de Riegos y Drenajes, 1977;Variants: magnitud física | Domains: SCIENCE | Context: toda propiedad o dimensión de un cuerpo que puede ser medida, como longitud, peso, viscosidad, masa, temperatura, volumen, etc | Ref: ICID-Comité Español de Riegos y Drenajes, 1977
fracción de cobertura vegetal;## fracción de cobertura vegetal ### Definición y significado La fracción de cobertura vegetal es una medida que se utiliza para calcular la cantidad .;"COM-ES, basado en: <br>«Procesado de imágenes de satélite: obtención de magnitudes biofísicas de la vegetación», Poveda Sánchez-Guerrero, I., González Martín, I., Díaz San Andrés, A., Balbontín Nesvara, C. <p>Universidad de Castilla La Mancha - INSTITUTO DE DESARROLLO REGIONAL <a href=""http://www.teledeteccionysig.es/formacion/proyectos/Proyecto3.pdf"" target=""_blank"">http://www.teledeteccionysig.es/formacion/proyectos/Proyecto3.pdf</a> [25.1.2019]</p>";"Variants: fracción de cobertura vegetal | Domains: SCIENCE | Context: Fracción de la superficie del suelo ocupada por la vegetación. | Ref: COM-ES, basado en: <br>«Procesado de imágenes de satélite: obtención de magnitudes biofísicas de la vegetación», Poveda Sánchez-Guerrero, I., González Martín, I., Díaz San Andrés, A., Balbontín Nesvara, C. <p>Universidad de Castilla La Mancha - INSTITUTO DE DESARROLLO REGIONAL <a href=""http://www.teledeteccionysig.es/formacion/proyectos/Proyecto3.pdf"" target=""_blank"">http://www.teledeteccionysig.es/formacion/proyectos/Proyecto3.pdf</a> [25.1.2019]</p>"
célula convectiva;1. 2. 3. 4. 5. 6. 7. 8. 9. 10. 11. 12. 13. 14. 15. 16. 17. 18. 19. 20. 21. 22. 23. 24. 25. 26. 27. 28. 29. 30. 31. 32. 33. 34.;"M. C. Llasat y M. Llasat-Botija: «Diccionario de riesgos naturales», versión preliminar (en fase de revisión por expertos), Grupo de Análisis de Situaciones Meteorológicas Adversas, Departamento de Astronomía y Meteorología, Universidad de Barcelona <a href=""http://gama.am.ub.es/edrinacas/diccionario/diccionario.swf"" target=""_blank"">http://gama.am.ub.es/edrinacas/diccionario/diccionario.swf</a> (31.3.2009)";"Variants: célula convectiva | Domains: SCIENCE | Context: Masa de aire en el interior de la cual se da un proceso convectivo sin que se produzca mezcla apreciable con las masas vecinas. | Ref: M. C. Llasat y M. Llasat-Botija: «Diccionario de riesgos naturales», versión preliminar (en fase de revisión por expertos), Grupo de Análisis de Situaciones Meteorológicas Adversas, Departamento de Astronomía y Meteorología, Universidad de Barcelona <a href=""http://gama.am.ub.es/edrinacas/diccionario/diccionario.swf"" target=""_blank"">http://gama.am.ub.es/edrinacas/diccionario/diccionario.swf</a> (31.3.2009)"
autoridad administrativa;## autoridad administrativa ### Definición de autoridad administrativa La autoridad administrativa es la facultad que tiene el Estado para ejercer su .;DOCE L 384,31.12.1982, p. 7;Variants: autoridad administrativa | Domains: SCIENCE | Context: una autoridad administrativa nacional designada de acuerdo con el Artículo IX | Ref: DOCE L 384,31.12.1982, p. 7
