term;definition;source
Cuarta Comisión;"Una de las seis comisiones principales <a href=""/entry/result/858092/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:858092</a> de la Asamblea General de las Naciones Unidas <a href=""/entry/result/791491/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:791491</a> .<br>Trata los asuntos relativos a los territorios en fideicomiso y los territorios no autónomos.";"Naciones Unidas: Sede electrónica de esta Comisión <a href=""http://www.un.org/es/ga/fourth/index.shtml"" target=""_blank"">http://www.un.org/es/ga/fourth/index.shtml</a><br>Naciones Unidas, UNTERM (base terminológica) <a href=""http://unterm.un.org/dgaacs/unterm.nsf/WebView/36C12B17CD4E4AAB852569FA0000C09E?OpenDocument"" target=""_blank"">http://unterm.un.org/dgaacs/unterm.nsf/WebView/36C12B17CD4E4AAB852569FA0000C09E?OpenDocument</a>"
Oficina de las Naciones Unidas en Nairobi;"Encabezada por un Director General con categoría de Secretario General Adjunto, que responde ante el Secretario General <a href=""/entry/result/1487005/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:1487005</a> en asuntos políticos, de procedimiento y de seguridad. Es la sede mundial del Programa de las Naciones Unidas para el Medio Ambiente <a href=""/entry/result/797104/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:797104</a> y del and the Programa de las Naciones Unidas para los Asentamientos Humanos <a href=""/entry/result/927470/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:927470</a> .";"Naciones Unidas, UNTERM (base terminológica) <a href=""http://unterm.un.org/DGAACS/unterm.nsf/WebView/822956E23C194ACA852569FA0000DCE4?OpenDocument"" target=""_blank"">http://unterm.un.org/DGAACS/unterm.nsf/WebView/822956E23C194ACA852569FA0000DCE4?OpenDocument</a>"
Consejo Ejecutivo de la UNESCO;"Junto con la Conferencia General <a href=""/entry/result/856948/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:856948</a> , uno de los órganos rectores de la UNESCO <a href=""/entry/result/791338/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:791338</a> .<br>Es, en cierto modo, el consejo de administración de la UNESCO. Prepara el trabajo de la Conferencia General y vela por que las decisiones se ejecuten adecuadamente. Las funciones y responsabilidades del Consejo Ejecutivo emanan esencialmente de la Constitución y de los reglamentos o directivas establecidos por la Conferencia General. Este reglamento se complementa con las resoluciones de la Conferencia General. Cada dos años, la Conferencia General encarga tareas específicas al Consejo.";"UNESCO: Órganos rectores de la UNESCO <a href=""http://www.unesco.org/new/es/unesco/about-us/who-we-are/governing-bodies/"" target=""_blank"">http://www.unesco.org/new/es/unesco/about-us/who-we-are/governing-bodies/</a>"
Voluntarios de las Naciones Unidas;"Organización de las Naciones Unidas encargada de fomentar el desarrollo humano a escala mundial mediante la promoción del voluntariado, incluyendo la movilización internacional de voluntarios.<br>Depende del Programa de las Naciones Unidas para el Desarrollo <a href=""/entry/result/791192/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:791192</a> .";"Voluntarios de las Naciones Unidas [VNU], nota descriptiva <a href=""http://www.unv.org/fileadmin/docdb/pdf/2007/FS_programme_sp_dec.pdf"" target=""_blank"">http://www.unv.org/fileadmin/docdb/pdf/2007/FS_programme_sp_dec.pdf</a><br>Naciones Unidas, Asamblea General: Resolución 2659 (XXV) [7-12-1970] <a href=""http://www.un.org/spanish/documents/ga/res/25/ares25.htm"" target=""_blank"">http://www.un.org/spanish/documents/ga/res/25/ares25.htm</a>"
Oficina Política de las Naciones Unidas para Somalia;Misión política de las Naciones Unidas en Somalia. Su misión es impulsar la paz y la reconciliación.;"<a href=""http://www.un.org/spanish/Depts/dpko/yir03/Africa_peace_operations.htm"" target=""_blank"">http://www.un.org/spanish/Depts/dpko/yir03/Africa_peace_operations.htm</a>"
Grupo de los Estados de Asia;"Uno de los cinco ""grupos regionales"" <a href=""/entry/result/794621/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:794621</a> oficiosos de países miembros de las Naciones Unidas que se tienen en cuenta, entre otras cosas, para la distribución de los puestos de miembros no permanentes del Consejo de Seguridad, de las comisiones de la Asamblea General y de diversos órganos subsidiarios de las Naciones Unidas.";"- Naciones Unidas, UNTERM (base terminológica), voz ""grupo regional"" <a href=""http://unterm.un.org/dgaacs/unterm.nsf/8fa942046ff7601c85256983007ca4d8/9f104af7acff4f9b8525738a005eb60e?OpenDocument"" target=""_blank"">http://unterm.un.org/dgaacs/unterm.nsf/8fa942046ff7601c85256983007ca4d8/9f104af7acff4f9b8525738a005eb60e?OpenDocument</a> <br>- Naciones Unidas, UNTERM (base terminológica), voz ""Estados de Asia y el Pacífico"" <a href=""http://unterm.un.org/dgaacs/unterm.nsf/8fa942046ff7601c85256983007ca4d8/a6a926132b22e7e78525738a005e049b?OpenDocument"" target=""_blank"">http://unterm.un.org/dgaacs/unterm.nsf/8fa942046ff7601c85256983007ca4d8/a6a926132b22e7e78525738a005e049b?OpenDocument</a><br>- Naciones Unidas: Reglamento de la Asamblea General, artículos 142 y 145, notas a pie de página 67 y 71 <a href=""http://www.un.org/es/comun/docs/?symbol=A/520/rev.17"" target=""_blank"">http://www.un.org/es/comun/docs/?symbol=A/520/rev.17</a><br>- Naciones Unidas, Consejo de Seguridad: Informe amplio del estado de la aplicación de la resolución 1540 (2004) <a href=""http://www.un.org/es/sc/1540/comprehensive-review/pdf/CRpaper(Element%20C).pdf"" target=""_blank"">http://www.un.org/es/sc/1540/comprehensive-review/pdf/CRpaper(Element%20C).pdf</a>"
mecanismo extraconvencional;"Mecanismo establecido por un órgano de la ONU pero que no ha sido creado en virtud de un instrumento internacional determinado.<br>La Comisión de Derechos Humanos <a href=""/entry/result/777382/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:777382</a> y el Consejo Económico y Social <a href=""/entry/result/784342/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:784342</a> de las Naciones Unidas han establecido varios procedimientos y mecanismos extraconvencionales que se han confiado bien a grupos de trabajo compuestos por expertos que actúan a título personal o bien a particulares independientes denominados relatores especiales <a href=""/entry/result/877306/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:877306</a> , representantes o expertos.<br>Los mandatos conferidos a esos procedimientos y mecanismos consisten en examinar y vigilar ya sea la situación de los derechos humanos en países o territorios específicos (los llamados mecanismos o <i><b>mandatos por país</b></i>) o fenómenos importantes de violaciones de los derechos humanos a nivel mundial (los mecanismos o <i><b>mandatos temáticos</b></i>), e informar públicamente al respecto en ambos casos.";"Naciones Unidas, UNTERM (base terminológica) <a href=""http://unterm.un.org/dgaacs/unterm.nsf/8fa942046ff7601c85256983007ca4d8/d7860e85606805bb85256e60005443dd?OpenDocument"" target=""_blank"">http://unterm.un.org/dgaacs/unterm.nsf/8fa942046ff7601c85256983007ca4d8/d7860e85606805bb85256e60005443dd?OpenDocument</a> <a href=""http://unterm.un.org/dgaacs/unterm.nsf/WebView/E323CD1F1FB2B7DD85256E600053FB8E?OpenDocument"" target=""_blank"">http://unterm.un.org/dgaacs/unterm.nsf/WebView/E323CD1F1FB2B7DD85256E600053FB8E?OpenDocument</a>"
Misión de Administración Provisional de las Naciones Unidas en Kosovo;"Misión de las Naciones Unidas establecida en virtud de la Resolución 1244 (1999) del Consejo de Seguridad en la que se ""autoriza al Secretario General [de esta organización] a establecer, con la asistencia de las organizaciones internacionales competentes, una presencia internacional civil en Kosovo a fin de que Kosovo tenga una administración provisional bajo la cual su pueblo pueda gozar de una autonomía sustancial en la República Federativa de Yugoslavia <a href=""/entry/result/1810004/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:1810004</a> y la cual se encargará de administrar la transición al tiempo que establecerá y supervisará el desarrollo de instituciones provisionales de gobierno democrático autónomo a fin de crear condiciones propicias para que todos los habitantes de Kosovo puedan vivir una vida pacífica y normal"".";"Resolución 1244 (1999) del Consejo de Seguridad de las Naciones Unidas (10-6-1999) <a href=""http://www.un.org/spanish/docs/sc99/scrl99.htm"" target=""_blank"">http://www.un.org/spanish/docs/sc99/scrl99.htm</a>"
Grupo de los Estados de América Latina y el Caribe;"Uno de los cinco «grupos regionales» <a href=""/entry/result/794621/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:794621</a> oficiosos de países miembros de las Naciones Unidas que se tienen en cuenta, entre otras cosas, para la distribución de los puestos de miembros no permanentes del Consejo de Seguridad, de las comisiones de la Asamblea General y de diversos órganos subsidiarios de las Naciones Unidas.";"- Naciones Unidas, UNTERM (base terminológica), voz <a href=""https://untermportal.un.org/unterm/display/record/unhq/na?OriginalId=9f104af7acff4f9b8525738a005eb60e"" target=""_blank"">«grupo regional»<time datetime=""27.3.2020""> (27.3.2020)</time></a><br>- Naciones Unidas, UNTERM (base terminológica), voz <a href=""https://untermportal.un.org/unterm/display/record/imo/na?OriginalId=6a470488e0914b48b6b1ecff4c74f223"" target=""_blank"">«GRULAC»<time datetime=""27.3.2020""> (27.3.2020)</time></a> <br>- Naciones Unidas: <a href=""https://undocs.org/es/A/520/rev.17"" target=""_blank"">Reglamento de la Asamblea General, artículos 142 y 145, notas a pie de página 67 y 71<time datetime=""27.3.2020""> (27.3.2020)</time></a>"
Oficina de Verificación Nuclear para el Iraq;Oficina dependiente del OIEA, con sede en Viena, encargada de organizar las inspecciones de búsqueda de armas de destrucción masiva en Iraq.;"Naciones Unidas, Boletín n.º 46, Cronología del Iraq, Problemas y lecciones de las inspecciones nucleares, p. 64 <a href=""http://www.iaea.org/Publications/Magazines/Bulletin/Bull461/Spanish/article21_sp.pdf"" target=""_blank"">http://www.iaea.org/Publications/Magazines/Bulletin/Bull461/Spanish/article21_sp.pdf</a>"
iniciativa Nuevo Horizonte;"Proceso emprendido por por el Departamento de Operaciones de Mantenimiento de la Paz <a href=""/entry/result/886511/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:886511</a> y el Departamento de Apoyo a las Actividades sobre el Terreno <a href=""/entry/result/2250992/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:2250992</a> de las Naciones Unidas, encaminado a:<br>- Evaluar los principales dilemas en materia de políticas y estrategias que encaran las operaciones de mantenimiento de la paz <a href=""/entry/result/875921/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:875921</a> de las Naciones Unidas en la actualidad y en los próximos años, y<br>- Reforzar el diálogo en curso con las partes interesadas sobre soluciones posibles para ajustar mejor las operaciones de mantenimiento de la paz de manera que satisfagan las necesidades actuales y futuras.";"Naciones Unidas, Mantenimiento de la paz: El proceso «Nuevo Horizonte» <a href=""http://www.un.org/spanish/Depts/dpko/dpko/newhorizon.shtml"" target=""_blank"">http://www.un.org/spanish/Depts/dpko/dpko/newhorizon.shtml</a>"
Misión de las Naciones Unidas en el Sudán;"Misión de la ONU cuya finalidad es ""apoyar la aplicación del Acuerdo General de Paz <a href=""/entry/result/2232357/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:2232357</a> firmado entre el Gobierno del Sudán y el Movimiento y Ejército de Liberación del Pueblo Sudanés (SPLM/A), que tuvo lugar el 9 de enero de 2005; y desempeñar funciones relativas a la asistencia humanitaria, la protección y promoción de los derechos humanos.""";"Sitio oficial de la Misión <a href=""http://www.un.org/spanish/Depts/dpko/unmis/"" target=""_blank"">http://www.un.org/spanish/Depts/dpko/unmis/</a> (06.03.2006)"
Representante Especial del Secretario General de las Naciones Unidas;"Experto reconocido designado por el Secretario General de las Naciones Unidas <a href=""/entry/result/1487005/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:1487005</a> para que lo represente en reuniones con jefes de Estado en las que se traten cuestiones importantes en el ámbito de los derechos humanos.<br>Los representantes especiales pueden llevar a cabo visitas a los países correspondientes para investigar alegaciones de violaciones de los derechos humanos, y actuar como negociadores en nombre de las Naciones Unidas.";"Consejo-ES; véase Naciones Unidas, UNTERM (base terminológica) <a href=""http://unterm.un.org/dgaacs/unterm.nsf/WebView/481F07AE376FF82B85256A0100007C36?OpenDocument"" target=""_blank"">http://unterm.un.org/dgaacs/unterm.nsf/WebView/481F07AE376FF82B85256A0100007C36?OpenDocument</a>"
enviado especial de las Naciones Unidas;Persona nombrada por el secretario general de las Naciones Unidas (con rango de subsecretario general o secretario general adjunto) para que ejerza en su nombre una misión determinada en relación con un problema, país o región concretos, durante un periodo más breve que el correspondiente a un «representante especial».;"Naciones Unidas, UNTERM (base terminológica) <a href=""https://unterm.un.org/UNTERM/Display/Record/UNHQ/NA?OriginalId=638795065cb69120852569fa0000bfba"" target=""_blank"">https://unterm.un.org/UNTERM/Display/Record/UNHQ/NA?OriginalId=638795065cb69120852569fa0000bfba</a> [22.7.2019]."
Fondo para la Consolidación de la Paz;"Su creación se propuso en el informe del Secretario General de las Naciones Unidas ""Un concepto más amplio de libertad"" ( <a href=""http://www.un.org/spanish/largerfreedom/contents.htm"" target=""_blank"">http://www.un.org/spanish/largerfreedom/contents.htm</a> , anexo). Se aprobó el 11 de octubre de 2006 en respuesta a la demanda creciente de apoyo para los países que acaban de salir de un conflicto. Su función es aportar recursos en el periodo entre el fin del conflicto y el momento en que se pueda disponer de otros instrumentos de financiación.";"Consejo ES basado en:<br>Comisión de Consolidación de la Paz de las Naciones Unidas <a href=""http://www.un.org/spanish/peace/peacebuilding/"" target=""_blank"">http://www.un.org/spanish/peace/peacebuilding/</a> ;<br>Naciones Unidas, UNTERM (base terminológica) <a href=""http://unterm.un.org/dgaacs/unterm.nsf/8fa942046ff7601c85256983007ca4d8/30e365ffae4348af85256f4f006eb1e8?OpenDocument"" target=""_blank"">http://unterm.un.org/dgaacs/unterm.nsf/8fa942046ff7601c85256983007ca4d8/30e365ffae4348af85256f4f006eb1e8?OpenDocument</a>"
mecanismo temático;"Grupo de trabajo, relator o experto a quien la Comisión de Derechos Humanos da el mandato de examinar, vigilar e informar sobre violaciones de determinados derechos (independencia de jueces y abogados, por ej.) o sobre formas especialmente graves de violaciones de derechos humanos (desapariciones forzadas, por ej.). Forman parte de los ""procedimientos especiales"" de defensa de los derechos humanos. Ejemplo de mecanismo temático: el Grupo de Trabajo sobre la Detención Arbitraria.";"&lt; <a href=""http://www.cinu.org.mx/temas/dh/relatores.htm"" target=""_blank"">http://www.cinu.org.mx/temas/dh/relatores.htm</a> &gt;"
Fondo de Contribuciones Voluntarias para las Víctimas de la Tortura;"Creado inicialmente en 1982 (por la Resolución A/RES/36/151 de la Asamblea General de las Naciones Unidas <a href=""http://www.un.org/spanish/documents/ga/res/36/list36.htm"" target=""_blank"">http://www.un.org/spanish/documents/ga/res/36/list36.htm</a> ) como Fondo Fiduciario de las Naciones Unidas para Chile.Fondo administrado por el Secretario General de las Naciones Unidas, que recibe contribuciones voluntarias y las destina a ONG y centros de tratamiento que prestan asistencia a las víctimas de torturas y sus familiares, así como a la financiación de proyectos de formación para los profesionales especializados en la atención de estas personas.";"Naciones Unidas, UNTERM (base terminológica) <a href=""http://unterm.un.org/dgaacs/unterm.nsf/WebView/C280FBE8DB7C12B9852569FA0000DFDE?OpenDocument"" target=""_blank"">http://unterm.un.org/dgaacs/unterm.nsf/WebView/C280FBE8DB7C12B9852569FA0000DFDE?OpenDocument</a> ; Oficina del Alto Comisionado para los Derechos Humanos: Fondo de Contribuciones Voluntarias de las Naciones Unidas para las Víctimas de la Tortura <a href=""http://www.ohchr.org/SP/Issues/Pages/TortureFundMain.aspx"" target=""_blank"">http://www.ohchr.org/SP/Issues/Pages/TortureFundMain.aspx</a>"
Comisión de Desarme y Seguridad Internacional;"Una de las seis comisiones principales <a href=""/entry/result/858092/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:858092</a> de la Asamblea General de las Naciones Unidas <a href=""/entry/result/791491/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:791491</a> .  <br>Analiza todas las cuestiones relativas al desarme <a href=""/entry/result/843044/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:843044</a> que se abordan durante el periodo de sesiones ordinario <a href=""/entry/result/1875900/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:1875900</a> de la Asamblea General.";"Consejo-ES a partir de: <div> - Naciones Unidas, Asamblea General, Desarme y Seguridad Internacional: «<a href=""https://www.un.org/es/ga/first/index.shtml"" target=""_blank"">Primera Comisión</a>» <time datetime=""18.11.2019""><a href=""https://www.un.org/es/ga/first/index.shtml"" target=""_blank""> (18.11.2019)</a></time></div> <div> - Naciones Unidas, Asamblea General: «<a href=""https://www.un.org/es/ga/maincommittees/index.shtml"" target=""_blank"">Comisiones principales</a>» <a href=""https://www.un.org/es/ga/maincommittees/index.shtml"" target=""_blank""><time datetime=""18.11.2019""> (18.11.2019)</time></a></div>"
grupo electoral;"Cada uno de los grupos en que se dividen las delegaciones [de los Estados ante las Naciones Unidas] a efectos de votaciones y para otros fines en los que se desea una equidad de representación geográfica.<br>Obsérvese que no siempre los grupos electorales coinciden rigurosamente con los cinco grupos regionales <a href=""/entry/result/794621/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:794621</a> definidos por las Naciones Unidas.";"Naciones Unidas, UNTERM (base terminológica) <a href=""http://unterm.un.org/dgaacs/unterm.nsf/WebView/A1C52465E8AB7260852569FA00003DA1?OpenDocument"" target=""_blank"">http://unterm.un.org/dgaacs/unterm.nsf/WebView/A1C52465E8AB7260852569FA00003DA1?OpenDocument</a><br>Consejo-ES; véase, por ejemplo: OMPI: Composición del Comité de Coordinación de la OMPI, nota 13 <a href=""http://www.wipo.int/edocs/mdocs/govbody/es/a_34/a_34_12.doc"" target=""_blank"">http://www.wipo.int/edocs/mdocs/govbody/es/a_34/a_34_12.doc</a> ."
Quinta Comisión;"Una de las seis comisiones principales <a href=""/entry/result/858092/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:858092</a> de la Asamblea General de las Naciones Unidas <a href=""/entry/result/791491/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:791491</a> .";"Naciones Unidas: 58.° período de sesiones de la Asamblea General - Antecedentes <a href=""http://www.un.org/spanish/aboutun/organs/ga/58/background.html#maincttee"" target=""_blank"">http://www.un.org/spanish/aboutun/organs/ga/58/background.html#maincttee</a><br>Sede electrónica de esta Comisión: <a href=""http://www.un.org/es/ga/fifth/index.shtml"" target=""_blank"">http://www.un.org/es/ga/fifth/index.shtml</a>"
organización humanitaria;Organización pública o no gubernamental, nacional o internacional, que tiene por finalidad intervenir en favor de las personas afectadas por situaciones de crisis humanitaria coyunturales o persistentes.;Consejo-ES
período extraordinario de sesiones de la Asamblea General de las Naciones Unidas dedicado al desarme;"""La Asamblea General se reunirá anualmente en sesiones ordinarias y, cada vez que las circunstancias lo exijan, en sesiones extraordinarias. El Secretario General convocará a sesiones extraordinarias a solicitud del Consejo de Seguridad o de la mayoría de los Miembros de las Naciones Unidas.""<br>El 10.º período extraordinario de sesiones (23 de mayo - 30 de junio de 1978) se dedicó a cuestiones de desarme.";"Carta de las Naciones Unidas, capítulo IV, art. 20 <a href=""http://www.un.org/spanish/aboutun/charter/index.htm"" target=""_blank"">http://www.un.org/spanish/aboutun/charter/index.htm</a>"
Consejo Administrativo Provisional;"Componente de la Estructura Administrativa Provisional Mixta Kosovo-UNMIK, ""formulará recomendaciones de enmiendas a la legislación aplicable y para nuevos reglamentos, así como directrices de política para los departamentos administrativos en la aplicación del derecho."" (S/1999/1250, párr. 5)";---
Resolución de la Asamblea General;"Declaración formal adoptada por la Asamblea General de las Naciones Unidas [ <a href=""/entry/result/791491/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:791491</a> ], que puede ser o no ser jurídicamente vinculante.";"Consejo-ES a partir de diversas fuentes. Véase, por ejemplo, el sitio web de la Asamblea General de las Naciones Unidas <a href=""http://www.un.org/es/ga/"" target=""_blank"">http://www.un.org/es/ga/</a> [3.9.2018]"
Comisión Jurídica;"Una de las seis comisiones principales <a href=""/entry/result/858092/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:858092</a> de la Asamblea General de las Naciones Unidas <a href=""/entry/result/791491/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:791491</a> .";"Naciones Unidas: 58.° período de sesiones de la Asamblea General - Antecedentes <a href=""http://www.un.org/spanish/aboutun/organs/ga/58/background.html#maincttee"" target=""_blank"">http://www.un.org/spanish/aboutun/organs/ga/58/background.html#maincttee</a><br>Sede electrónica de esta Comisión: <a href=""http://www.un.org/es/ga/sixth/index.shtml"" target=""_blank"">http://www.un.org/es/ga/sixth/index.shtml</a>"
Vicesecretario General;Cargo creado por la Asamblea General en diciembre de 1997. Desde 1998 lo ocupa Louise Fréchette.;---
programa de acción para la eliminación de las minas;Expresiones genéricas utilizadas indistintamente en los documentos de la ONU.;---
