"term";"definition";"retrieved_sources"
"agencia externa de calificación crediticia designada";"1. El presente Reglamento establece un marco regulador común para las entidades de crédito autorizadas en la Unión Europea.";"[""http://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:02013R0575-20150118""]"
"valor preferente";"Valor preferente es un tipo de deuda que tiene prioridad sobre otras deudas en caso de bancarrota. Los acreedores con valor preferente son los primeros en recibir pagos de la empresa en bancarrota.";"[""http://www.sanmartin.edu.co/academicos_new/contaduria/diccionario/DICCIONARIO_DE_TERMINOS_CONTABLES_S-Z.doc""]"
"entidad de crédito";"1. El capital es el conjunto de activos que posee una empresa, que le permiten financiar sus actividades.";"[""https://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:32013R0575""]"
"entidad originadora";"1. La presente Directiva se aplicará a las entidades de crédito que operen en el territorio de la Comunidad, a las sucursales de las entidades de crédito que operen en el territorio de uno o varios Estados miembros y a las entidades de crédito que operen en el territorio de uno o varios Estados miembros a través de una sucursal.";"[""http://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:32006L0048""]"
"protección del inversor";"1. (1) La presente Directiva se aplica a las empresas de servicios de inversión que presten servicios de inversión o realicen actividades de inversión en la Unión por iniciativa exclusiva de personas establecidas en la Unión.";"[""http://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:32014L0065""]"
"capacidad crediticia";"Capacidad crediticia es la capacidad de una empresa o persona para pagar sus deudas. Esta capacidad se mide por diversos factores, como el valor de los activos, el flujo de caja, el nivel de deuda y la rentabilidad. Una empresa o persona con una alta capacidad crediticia es más probable que pueda obtener préstamos o créditos a tasas bajas y favorables.";"[""http://www.google.com/url?sa=t&amp;rct=j&amp;q=&amp;esrc=s&amp;frm=1&amp;source=web&amp;cd=4&amp;sqi=2&amp;ved=0CDIQFjAD&amp;url=http%3A%2F%2Fwww.asba-supervision.org%2Findex.php%3Foption%3Dcom_docman%26task%3Ddoc_download%26gid%3D331%26Itemid%3D6%26lang%3Des&amp;ei=4zgQT6LaFMaC8gOcqeGGBA&amp;usg=AFQjCNHVFtIbbLqZTBmaumszkW8bTQ0UuQ&amp;sig2=agscOZuyv_QUmRg97UQ9Pw""]"
"entidad de resolución";"La resolución es un procedimiento que permite a las autoridades de resolución intervenir en una entidad de resolución para poner fin a su actividad, preservando la estabilidad financiera del sistema financiero y protegiendo a los clientes y a los depositantes.";"[""http://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:52016PC0851""]"
"umbral de margen";"1. El capital es el conjunto de activos que posee una empresa, que le permiten financiar sus actividades.";"[""http://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:32013R0575""]"
"otra entidad de importancia sistémica";"1. El apartado 1 no será obstáculo para que las autoridades competentes intercambien información o la transmitan a la JERS, la ABE o la Autoridad Europea de Supervisión (Autoridad Europea de Valores y Mercados) (AEVM) prevista por el Reglamento (UE) n o 1095/2010 del Parlamento Europeo y del Consejo (5 ), con arreglo a la presente Directiva, al Reglamento (UE) n o 575/2013, a otras directivas aplicables a las entidades de crédito, al artículo 15 del Reglamento (UE) n o 1092/2010, a los artículos 31, 35 y 36 del Reglamento (UE) n";"[""https://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:02013L0036-20180709""]"
"préstamo con cesión del quinto del sueldo";"";"[""https://bancasistema.it/salary-pension-backed-loans""]"
"solvencia";"Solvencia es la capacidad de una empresa o persona de satisfacer sus obligaciones financieras y de pago. Es una medida de la capacidad de una empresa o persona de pagar sus deudas y cumplir con sus compromisos financieros. La solvencia se mide a través de indicadores financieros como el ratio de solvencia, el ratio de liquidez y el ratio de deuda. Una empresa o persona con una alta solvencia tiene una buena capacidad de pagar sus deudas y cumplir con sus compromisos financieros, mientras que una empresa o persona con una baja solvencia tiene una capacidad limitada de pagar sus deudas y cumplir con sus compromisos financieros. La solvencia es importante para las empresas y personas porque permite a las empresas y personas obtener";"[""http://www.bolsamadrid.es/esp/bolsamadrid/cursos/dicc/s.asp""]"
"colchón para otras entidades de importancia sistémica";"- 1.";"[""https://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX%3A02013L0036-20201229""]"
"mercado profundo";"";"[""http://eur-lex.europa.eu/legal-content/ES/ALL/?uri=CELEX:32015R0035""]"
"requisito de liquidez";"1. El capital es el conjunto de activos que posee una empresa, que le permiten financiar sus actividades.";"[""http://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:32013R0575""]"
"necesidad de liquidez";"El Reglamento (UE) nº 806/2014 de 15 de julio de 2014, por el que se establece un Mecanismo Único de Resolución y un Sistema Europeo de Garantía de Depósitos y se modifica el Reglamento (UE) nº 1093/2010, se modifica como sigue:";"[""https://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:52015PC0586""]"
"método estándar simplificado para el riesgo de crédito de contraparte";"Pasivos admisibles";"[""https://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:02019R0876-20190607""]"
"punto de entrada único";"La resolubilidad es la capacidad de una entidad o grupo para ser resuelto de acuerdo con la estrategia de resolución prevista en el plan de resolución.";"[""http://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:32016R1075""]"
"financiamiento de contrapartida";"BONO GARANTIZADO:";"[""https://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:32019L2162"", ""https://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:32014R0523""]"
"cartera con bajo nivel de incumplimientos";"";"[""http://www.santander.com/csgs/StaticBS?blobcol=urldata&amp;blobheadername1=content-type&amp;blobheadername2=Content-Disposition&amp;blobheadername3=appID&amp;blobheadervalue1=application%2Fpdf&amp;blobheadervalue2=inline%3Bfilename%3D496%5C57%5CEjercicio+2010.pdf&amp;blobheadervalue3=santander.wc.CFWCSancomQP01&amp;blobkey=id&amp;blobtable=MungoBlobs&amp;blobwhere=1278680775496&amp;ssbinary=true""]"
"fondos propios de base";"1. La presente Directiva se aplicará a las entidades de crédito que operen en el territorio de la Comunidad, a las sucursales de entidades de crédito que operen en el territorio de la Comunidad y a las entidades de crédito que operen en el territorio de uno o varios Estados miembros a través de una sucursal.";"[""https://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:32006L0048""]"
"activo de nivel 1";"Activo de nivel 1:";"[""https://eur-lex.europa.eu/legal-content/ES/TXT/?uri=legissum:4370932""]"
"activo improductivo";"ACTIVO IMPRODUCTIVO";"[""http://www.camelsr.com/ProductosyServicios/Earnings.aspx"", ""http://www.expansion.com/diccionario-economico/activo-bancario.html""]"
"activo de nivel 2";"Un activo de nivel 2 es un activo líquido que se clasifica en el nivel 2 de la jerarquía de liquidez. Los activos de nivel 2 se clasifican en el nivel 2 de la jerarquía de liquidez porque se pueden vender en el mercado secundario con un margen de precio de venta inferior al 1 % del precio de mercado. Los activos de nivel 2 incluyen bonos, obligaciones y otros instrumentos financieros que se pueden vender en el mercado secundario con un margen de precio de venta inferior al 1 % del precio de mercado.";"[""https://eur-lex.europa.eu/legal-content/ES/TXT/?uri=legissum:4370932""]"
"P2R";"The SREP is a process that involves the ECB and the national competent authorities (NCAs) in the supervision of credit institutions. The SREP is a process that involves the ECB and the national competent authorities (NCAs) in the supervision of credit institutions. The SREP is a process that involves the ECB and the national competent authorities (NCAs) in the supervision of credit institutions. The SREP is a process that involves the ECB and the national competent authorities (NCAs) in the supervision of credit institutions. The SREP is a process that involves the ECB and the national competent authorities (NCAs) in the supervision of credit institutions. The SREP is a process that involves the ECB and the national competent authorities (NCAs) in the supervision of credit institutions. The SREP is a process that involves the ECB and the national competent authorities (";"[""https://www.bankingsupervision.europa.eu/banking/srep/2019/html/methodology.en.html#toc24""]"
"activo transferible de liquidez y calidad crediticia sumamente elevadas";"";"[""https://eur-lex.europa.eu/legal-content/ES/TXT/?uri=legissum:4370932""]"
"hipótesis contrafactual de insolvencia";"La resolución es un proceso que se aplica a una entidad financiera que se encuentra en una situación de inviabilidad, con el objetivo de preservar las funciones esenciales de la entidad financiera y evitar amenazas para la estabilidad financiera, protegiendo al mismo tiempo a los depositantes y los fondos públicos.";"[""https://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:52023PC0227""]"
"doble recurso";"BONO GARANTIZADO:";"[""http://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:52018PC0094""]"
"titulización de venta verdadera";"1) «Titulización»: una operación o un mecanismo mediante los cuales el riesgo de crédito asociado a una exposición o conjunto de exposiciones se transfiere a un vehículo especializado en titulización.";"[""http://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:52015PC0472""]"
"AVC";"1. La presente Directiva se aplicará a las entidades de crédito que operen en el territorio de la Comunidad, a las sucursales de las entidades de crédito que operen en el territorio de uno o varios Estados miembros y a las entidades de crédito que operen en el territorio de uno o varios Estados miembros a través de una sucursal.";"[""http://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:32006L0048""]"
"ratio de apalancamiento";"RATIO DE APALANCAMIENTO";"[""http://www.bolsamadrid.es/esp/Inversores/Formacion/Glosario/R.aspx""]"
"quita";"Quita";"[""http://eco-finanzas.com/conceptos.htm""]"
"comunicación de información con fines de supervisión";"";"[""https://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:32014R0680""]"
"proveedor de servicios de administración de créditos";"Un crédito es un contrato por el cual una entidad de crédito (banca, entidad financiera, etc.) se compromete a entregar una cantidad de dinero a un prestatario a cambio de una obligación de devolver dicha cantidad de dinero, con intereses y según un plazo determinado.";"[""https://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:52018PC0135""]"
"Agencia de Crédito a la Exportación";"1. Aunque los buques de tipo hovercraft no están cubiertos por el acuerdo sectorial, los participantes podrán conceder créditos a la exportación de estos barcos en condiciones equivalentes a las del acuerdo sectorial. Se comprometen a aplicar esta posibilidad de forma moderada y, si se establece que no existe una competencia en las condiciones del acuerdo sectorial, a no conceder tales condiciones de crédito a los hovercraft.";"[""http://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:02011R1233-20130822""]"
"activo de liquidez y calidad crediticia sumamente elevadas";"";"[""https://eur-lex.europa.eu/legal-content/ES/TXT/?uri=legissum:4370932""]"
"calificación triple A";"La calificación triple A es una calificación de crédito que se otorga a una entidad financiera o a un instrumento de deuda concreto por parte de una agencia de calificación. Esta calificación indica que la entidad financiera o el instrumento de deuda tiene una probabilidad muy baja de no poder cumplir con sus obligaciones financieras.";"[""https://www.universidadviu.com/es/actualidad/nuestros-expertos/para-que-sirven-las-agencias-de-calificacion-crediticia-o-de-rating""]"
"reducción del riesgo";"Reducción del riesgo";"[""https://www.google.es/url?sa=t&amp;rct=j&amp;q=&amp;esrc=s&amp;source=web&amp;cd=1&amp;cad=rja&amp;uact=8&amp;ved=0ahUKEwjd9OK0-8DXAhXIiRoKHRKrCmoQFggtMAA&amp;url=https%3A%2F%2Fwww.swift.com%2Fsites%2Fdefault%2Ffiles%2Fresources%2Fswift_compliance_infopaper_derisking_es.pdf&amp;usg=AOvVaw2CgNraZxVhYTbUD0xxZZdX""]"
"periodo de reaseguro";"1. El presente Reglamento establece unas normas y un procedimiento uniformes para la resolución de los entes a que se refiere el artículo 2 que estén establecidos en los Estados miembros participantes mencionados en el artículo 4. Dichas normas y dicho procedimiento uniformes serán aplicados por la Junta Única de Resolución establecida con arreglo al artículo 42 («la Junta») conjuntamente con el Consejo y la Comisión y las autoridades nacionales de resolución en el marco del Mecanismo Único de Resolución (MUR) establecido por el presente Reglamento. El MUR contará con el respaldo de un Fondo Único de Resolución («el FUR»). La utilización del FUR";"[""https://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:52015PC0586""]"
"hipoteca burbuja";"HIPOTECA BURBUJA:";"[""https://www.abc.es/economia/20140128/abci-hipotecas-burbuja-deuda-familias-201401281245.html""]"
"recomendación de capital por pilar 2";"Recomendación de capital por pilar 2:";"[""https://www.bankingsupervision.europa.eu/press/publications/newsletter/2016/html/nl161116.en.html""]"
"banco de inversión";"Un banco de inversión es una institución financiera que se dedica a la gestión de activos de inversión para clientes individuales y corporativos. Estos activos pueden incluir acciones, bonos, fondos de inversión y otros instrumentos financieros. Los bancos de inversión ofrecen servicios de asesoramiento financiero y gestión de activos, ayudando a sus clientes a planear y administrar sus inversiones de manera eficiente y rentable.";"[""http://www.actibva.com/magazine/mercados-financieros/banca-comercial-y-banca-de-inversiones""]"
"gastos fijos generales";"Gastos fijos generales son los gastos que se deben pagar por una empresa independientemente de la cantidad de bienes o servicios que produzca. Estos gastos incluyen alquileres, salarios fijos, impuestos y seguros. Los gastos fijos generales son esenciales para mantener una empresa funcionando, pero deben reflejarse en los beneficios de la empresa.";"[""https://www.investopedia.com/ask/answers/033015/how-does-fixed-overhead-differ-varied-overhead.asp""]"
