"term";"definition";"retrieved_sources"
"plazo de reembolso";"El plazo de reembolso es el período durante el cual el cliente puede solicitar el reembolso de una transacción o compra realizada.";"[""[\\""https://www.google.es/url?sa=t&amp;rct=j&amp;q=&amp;esrc=s&amp;source=web&amp;cd=1&amp;cad=rja&amp;uact=8&amp;ved=0ahUKEwjd9OK0-8DXAhXIiRoKHRKrCmoQFggtMAA&amp;url=https%3A%2F%2Fwww.swift.com%2Fsites%2Fdefault%2Ffiles%2Fresources%2Fswift_compliance_infopaper_derisking_es.pdf&amp;usg=AOvVaw2CgNraZxVhYTbUD0xxZZdX\\""]"", ""[\\""http://www.google.com/url?sa=t&amp;rct=j&amp;q=&amp;esrc=s&amp;frm=1&amp;source=web&amp;cd=4&amp;sqi=2&amp;ved=0CDIQFjAD&amp;url=http%3A%2F%2Fwww.asba-supervision.org%2Findex.php%3Foption%3Dcom_docman%26task%3Ddoc_download%26gid%3D331%26Itemid%3D6%26lang%3Des&amp;ei=4zgQT6LaFMaC8gOcqeGGBA&amp;usg=AFQjCNHVFtIbbLqZTBmaumszkW8bTQ0UuQ&amp;sig2=agscOZuyv_QUmRg97UQ9Pw\\""]"", ""[\\""http://eur-lex.europa.eu/legal-content/ES/ALL/?uri=CELEX:32015R0035\\""]""]"
"BCN gestor";"El BCN gestor es un tipo de gestor de riesgos que se encarga de supervisar y gestionar los riesgos financieros de las instituciones financieras en el marco de la regulación (UE) n° 575/2013 del Parlamento Europeo y del Consejo. Su función principal es garantizar que las instituciones cumplan con las normas y estándares de supervisión establecidos en la regulación, y que los riesgos financieros sean gestionados de manera eficaz y segura. El BCN gestor es responsable de recopilar y analizar datos sobre los riesgos financieros, identificar áreas de mejora y desarrollar estrategias para mitigarlos. Además, debe garantizar que las instituciones cumplan con las obligaciones de transparencia y rendición de cuentas establecidas en la regulación. En resumen, el BCN gestor es un profesional especializado";"[""[\\""https://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:32014R0680\\""]"", ""[\\""https://bancasistema.it/salary-pension-backed-loans\\""]"", ""[\\""http://eur-lex.europa.eu/legal-content/ES/ALL/?uri=CELEX:32015R0035\\""]""]"
"salida neta de liquidez";"La salida neta de liquidez se refiere a la cantidad total de efectivo que una entidad de crédito puede esperar recibir o perder durante un período de 30 días, calculada como la diferencia entre las entradas y salidas de efectivo durante ese período. Esta medida es importante para evaluar la capacidad de la entidad para atender las peticiones de retirada de sus clientes y mantener un nivel adecuado de liquidez. La salida neta de liquidez se utiliza como uno de los indicadores clave para determinar si una entidad de crédito está en condiciones de tensión, lo que puede requerir medidas adicionales de supervisión y regulación. En el contexto del Reglamento Delegado (UE) 2015/61, la salida neta de liquidez se calcula como la diferencia entre las salidas de efectivo y las entradas de efectivo durante un período de 30 días, y se utiliza";"[""[\\""https://eur-lex.europa.eu/legal-content/ES/TXT/?uri=legissum:4370932\\""]"", ""[\\""https://eur-lex.europa.eu/legal-content/ES/TXT/?uri=legissum:4370932\\""]"", ""[\\""https://eur-lex.europa.eu/legal-content/ES/TXT/?uri=legissum:4370932\\""]""]"
"agencia externa de calificación crediticia designada";"Agencia externa de calificación crediticia designada.";"[""[\\""https://www.universidadviu.com/es/actualidad/nuestros-expertos/para-que-sirven-las-agencias-de-calificacion-crediticia-o-de-rating\\""]"", ""[\\""https://www.unacc.com/sector-de-cooperativas-de-credito/faq/#toggle-id-14\\""]"", ""[\\""http://www.camelsr.com/ProductosyServicios/Earnings.aspx\\"", \\""http://www.expansion.com/diccionario-economico/activo-bancario.html\\""]""]"
"valor preferente";"El valor preferente es el monto que se asigna a un activo o pasivo en caso de que se aplique un instrumento de resolución a una entidad. Este valor se utiliza para determinar la cantidad que se debe pagar o recibir en caso de que se vendan los activos o se conviertan los instrumentos de deuda en capital. El valor preferente se establece con el objetivo de maximizar la recuperación de los activos y minimizar los efectos adversos en los mercados financieros. En algunos casos, el valor preferente puede ser utilizado para restablecer la situación patrimonial y de solvencia de la entidad a través de la amortización y conversión de instrumentos de deuda. El valor preferente es un concepto clave en la resolución de entidades y se utiliza para garantizar que se realice una transición ordenada y eficiente en caso de que se aplique un instrumento de res";"[""[\\""https://www.bde.es/wbe/es/areas-actuacion/resolucion/herramientas-resolucion/\\""]"", ""[\\""https://www.google.es/url?sa=t&amp;rct=j&amp;q=&amp;esrc=s&amp;source=web&amp;cd=1&amp;cad=rja&amp;uact=8&amp;ved=0ahUKEwjd9OK0-8DXAhXIiRoKHRKrCmoQFggtMAA&amp;url=https%3A%2F%2Fwww.swift.com%2Fsites%2Fdefault%2Ffiles%2Fresources%2Fswift_compliance_infopaper_derisking_es.pdf&amp;usg=AOvVaw2CgNraZxVhYTbUD0xxZZdX\\""]"", ""[\\""http://www.google.com/url?sa=t&amp;rct=j&amp;q=&amp;esrc=s&amp;frm=1&amp;source=web&amp;cd=4&amp;sqi=2&amp;ved=0CDIQFjAD&amp;url=http%3A%2F%2Fwww.asba-supervision.org%2Findex.php%3Foption%3Dcom_docman%26task%3Ddoc_download%26gid%3D331%26Itemid%3D6%26lang%3Des&amp;ei=4zgQT6LaFMaC8gOcqeGGBA&amp;usg=AFQjCNHVFtIbbLqZTBmaumszkW8bTQ0UuQ&amp;sig2=agscOZuyv_QUmRg97UQ9Pw\\""]""]"
"entidad de crédito";"ERROR: NVML_SUCCESS == r INTERNAL ASSERT FAILED at ""/pytorch/c10/cuda/CUDACachingAllocator.cpp"":1131, please report a bug to PyTorch. ";"[]"
"entidad originadora";"Entidad originadora: La entidad que genera o produce algo, especialmente un producto o servicio. También puede referirse a la institución o organización que crea o desarrolla un proyecto, programa o iniciativa. En el contexto de la resolución de entidades financieras, la entidad originadora puede ser la institución que ha generado problemas financieros y requiere intervención regulatoria para su resolución. En general, la entidad originadora es la fuente o origen de algo, y puede ser un individuo, una empresa, una organización o cualquier otra entidad que desempeña un papel fundamental en la creación o desarrollo de algo.";"[""[\\""https://www.bde.es/wbe/es/areas-actuacion/resolucion/herramientas-resolucion/\\""]"", ""[\\""http://www.sanmartin.edu.co/academicos_new/contaduria/diccionario/DICCIONARIO_DE_TERMINOS_CONTABLES_S-Z.doc\\""]"", ""[\\""http://www.santander.com/csgs/StaticBS?blobcol=urldata&amp;blobheadername1=content-type&amp;blobheadername2=Content-Disposition&amp;blobheadername3=appID&amp;blobheadervalue1=application%2Fpdf&amp;blobheadervalue2=inline%3Bfilename%3D496%5C57%5CEjercicio+2010.pdf&amp;blobheadervalue3=santander.wc.CFWCSancomQP01&amp;blobkey=id&amp;blobtable=MungoBlobs&amp;blobwhere=1278680775496&amp;ssbinary=true\\""]""]"
"protección del inversor";"La protección del inversor es un conjunto de medidas y regulaciones diseñadas para proteger los intereses de los inversores, garantizando que sus inversiones sean seguras y transparentes, y que se les brinde información clara y precisa sobre los riesgos involucrados. Esto incluye la supervisión y regulación de las instituciones financieras, la transparencia en la comunicación de información financiera, y la protección contra prácticas fraudulentas o abusivas. El objetivo principal es garantizar la confianza y la seguridad de los inversores en el mercado financiero.";"[""[\\""https://www.bde.es/wbe/es/areas-actuacion/resolucion/herramientas-resolucion/\\""]"", ""[\\""http://www.sanmartin.edu.co/academicos_new/contaduria/diccionario/DICCIONARIO_DE_TERMINOS_CONTABLES_S-Z.doc\\""]"", ""[\\""http://www.santander.com/csgs/StaticBS?blobcol=urldata&amp;blobheadername1=content-type&amp;blobheadername2=Content-Disposition&amp;blobheadername3=appID&amp;blobheadervalue1=application%2Fpdf&amp;blobheadervalue2=inline%3Bfilename%3D496%5C57%5CEjercicio+2010.pdf&amp;blobheadervalue3=santander.wc.CFWCSancomQP01&amp;blobkey=id&amp;blobtable=MungoBlobs&amp;blobwhere=1278680775496&amp;ssbinary=true\\""]""]"
"capacidad crediticia";"La capacidad crediticia se refiere a la medida en que una entidad, como una cooperativa de crédito, puede obtener acceso a fondos a través de préstamos, créditos o otras formas de financiamiento, y su capacidad para pagarlos de acuerdo con los términos acordados. En otras palabras, es la capacidad de una entidad para obtener y gestionar deudas de manera efectiva.";"[""[\\""https://www.unacc.com/sector-de-cooperativas-de-credito/faq/#toggle-id-14\\""]"", ""[\\""http://www.camelsr.com/ProductosyServicios/Earnings.aspx\\"", \\""http://www.expansion.com/diccionario-economico/activo-bancario.html\\""]"", ""[\\""https://www.universidadviu.com/es/actualidad/nuestros-expertos/para-que-sirven-las-agencias-de-calificacion-crediticia-o-de-rating\\""]""]"
"entidad de resolución";"La entidad de resolución es un instrumento utilizado por las autoridades competentes para abordar la situación de una empresa o institución en crisis, con el objetivo de preservar la estabilidad financiera y evitar daños a los intereses de los accionistas, empleados y clientes. Se caracteriza por la venta de la entidad a un comprador o la creación de una sociedad de gestión de activos para gestionar y vender activos y pasivos, con el fin de maximizar su valor y restaurar la situación patrimonial y de solvencia de la entidad. La autoridad de resolución tiene control sobre este proceso y busca aplicar medidas para corregir las causas que llevaron a la inviabilidad de la entidad y restaurar su viabilidad futura. La resolución puede implicar la amortización de pérdidas no cubiertas por los fondos propios, la conversión de instrumentos de de";"[""[\\""https://www.bde.es/wbe/es/areas-actuacion/resolucion/herramientas-resolucion/\\""]"", ""[\\""http://www.sanmartin.edu.co/academicos_new/contaduria/diccionario/DICCIONARIO_DE_TERMINOS_CONTABLES_S-Z.doc\\""]"", ""[\\""http://eco-finanzas.com/conceptos.htm\\""]""]"
"umbral de margen";"El umbral de margen se refiere a la cantidad máxima o mínima permitida para realizar un pago o transacción financiera sin incurrir en costos adicionales o penalizaciones. Por ejemplo, si un banco tiene un umbral de margen de $100, cualquier transacción menor a ese monto no generará intereses ni comisiones adicionales. Este concepto es común en servicios financieros y comerciales, donde los clientes deben cumplir con ciertos requisitos o límites para evitar cargos extras. En resumen, el umbral de margen es la cantidad límite para realizar operaciones financieras sin sobrepasar un umbral que genere costos adicionales.";"[""[\\""http://www.sanmartin.edu.co/academicos_new/contaduria/diccionario/DICCIONARIO_DE_TERMINOS_CONTABLES_S-Z.doc\\""]"", ""[\\""https://www.google.es/url?sa=t&amp;rct=j&amp;q=&amp;esrc=s&amp;source=web&amp;cd=1&amp;cad=rja&amp;uact=8&amp;ved=0ahUKEwjd9OK0-8DXAhXIiRoKHRKrCmoQFggtMAA&amp;url=https%3A%2F%2Fwww.swift.com%2Fsites%2Fdefault%2Ffiles%2Fresources%2Fswift_compliance_infopaper_derisking_es.pdf&amp;usg=AOvVaw2CgNraZxVhYTbUD0xxZZdX\\""]"", ""[\\""http://www.google.com/url?sa=t&amp;rct=j&amp;q=&amp;esrc=s&amp;frm=1&amp;source=web&amp;cd=4&amp;sqi=2&amp;ved=0CDIQFjAD&amp;url=http%3A%2F%2Fwww.asba-supervision.org%2Findex.php%3Foption%3Dcom_docman%26task%3Ddoc_download%26gid%3D331%26Itemid%3D6%26lang%3Des&amp;ei=4zgQT6LaFMaC8gOcqeGGBA&amp;usg=AFQjCNHVFtIbbLqZTBmaumszkW8bTQ0UuQ&amp;sig2=agscOZuyv_QUmRg97UQ9Pw\\""]""]"
"otra entidad de importancia sistémica";"Otra entidad de importancia sistémica: Entidad que, aunque no es un banco, es fundamental para el sistema financiero y su inestabilidad podría tener consecuencias significativas para la estabilidad financiera global. Puede ser un proveedor de servicios financieros, un intermediario de valores, un fondo de inversión, etc. Su inestabilidad podría afectar la confianza en el sistema financiero y provocar una crisis financiera.";"[""[\\""http://www.santander.com/csgs/StaticBS?blobcol=urldata&amp;blobheadername1=content-type&amp;blobheadername2=Content-Disposition&amp;blobheadername3=appID&amp;blobheadervalue1=application%2Fpdf&amp;blobheadervalue2=inline%3Bfilename%3D496%5C57%5CEjercicio+2010.pdf&amp;blobheadervalue3=santander.wc.CFWCSancomQP01&amp;blobkey=id&amp;blobtable=MungoBlobs&amp;blobwhere=1278680775496&amp;ssbinary=true\\""]"", ""[\\""https://www.bde.es/wbe/es/areas-actuacion/resolucion/herramientas-resolucion/\\""]"", ""[\\""http://eco-finanzas.com/conceptos.htm\\""]""]"
"préstamo con cesión del quinto del sueldo";"El préstamo con cesión del quinto del sueldo es un tipo de financiamiento en el que el prestamista cede un porcentaje fijo de los ingresos mensuales del prestatario, conocido como quinto del sueldo, a cambio de una cantidad de dinero prestada. Este tipo de préstamo se utiliza comúnmente para cubrir gastos imprevistos o para realizar inversiones.";"[""[\\""http://www.sanmartin.edu.co/academicos_new/contaduria/diccionario/DICCIONARIO_DE_TERMINOS_CONTABLES_S-Z.doc\\""]"", ""[\\""http://eco-finanzas.com/conceptos.htm\\""]"", ""[\\""http://www.santander.com/csgs/StaticBS?blobcol=urldata&amp;blobheadername1=content-type&amp;blobheadername2=Content-Disposition&amp;blobheadername3=appID&amp;blobheadervalue1=application%2Fpdf&amp;blobheadervalue2=inline%3Bfilename%3D496%5C57%5CEjercicio+2010.pdf&amp;blobheadervalue3=santander.wc.CFWCSancomQP01&amp;blobkey=id&amp;blobtable=MungoBlobs&amp;blobwhere=1278680775496&amp;ssbinary=true\\""]""]"
"solvencia";"La solvencia se refiere a la capacidad de una entidad, como una empresa o institución financiera, para cumplir con sus obligaciones financieras a corto y largo plazo, incluyendo el pago de deudas y la gestión de sus activos y pasivos de manera eficiente y sostenible. Implica tener un patrimonio sólido, una estructura financiera saludable y la capacidad de adaptarse a cambios en el mercado y la economía. La solvencia es un aspecto crucial para la estabilidad financiera y la confianza de los inversores y clientes en la entidad.";"[""[\\""http://www.sanmartin.edu.co/academicos_new/contaduria/diccionario/DICCIONARIO_DE_TERMINOS_CONTABLES_S-Z.doc\\""]"", ""[\\""https://www.bde.es/wbe/es/areas-actuacion/resolucion/herramientas-resolucion/\\""]"", ""[\\""http://www.google.com/url?sa=t&amp;rct=j&amp;q=&amp;esrc=s&amp;frm=1&amp;source=web&amp;cd=4&amp;sqi=2&amp;ved=0CDIQFjAD&amp;url=http%3A%2F%2Fwww.asba-supervision.org%2Findex.php%3Foption%3Dcom_docman%26task%3Ddoc_download%26gid%3D331%26Itemid%3D6%26lang%3Des&amp;ei=4zgQT6LaFMaC8gOcqeGGBA&amp;usg=AFQjCNHVFtIbbLqZTBmaumszkW8bTQ0UuQ&amp;sig2=agscOZuyv_QUmRg97UQ9Pw\\""]""]"
"colchón para otras entidades de importancia sistémica";"Colchón para otras entidades de importancia sistémica.";"[""[\\""http://www.santander.com/csgs/StaticBS?blobcol=urldata&amp;blobheadername1=content-type&amp;blobheadername2=Content-Disposition&amp;blobheadername3=appID&amp;blobheadervalue1=application%2Fpdf&amp;blobheadervalue2=inline%3Bfilename%3D496%5C57%5CEjercicio+2010.pdf&amp;blobheadervalue3=santander.wc.CFWCSancomQP01&amp;blobkey=id&amp;blobtable=MungoBlobs&amp;blobwhere=1278680775496&amp;ssbinary=true\\""]"", ""[\\""http://eco-finanzas.com/conceptos.htm\\""]"", ""[\\""http://www.sanmartin.edu.co/academicos_new/contaduria/diccionario/DICCIONARIO_DE_TERMINOS_CONTABLES_S-Z.doc\\""]""]"
"mercado profundo";"El mercado profundo hace referencia a un instrumento de resolución de entidades financieras inviables, que permite a las autoridades competentes vender la entidad o partes de su negocio a uno o más compradores, preservando la actividad de la entidad hasta que sea vendida en un plazo máximo de dos años. También puede implicar la separación de activos y pasivos de la entidad para su venta en una sociedad especializada, con el objetivo de maximizar su valor y evitar efectos adversos en los mercados financieros. Además, puede incluir la amortización y conversión de instrumentos de deuda para recapitalizar la entidad y restaurar su viabilidad futura. El mercado profundo es una herramienta utilizada por las autoridades de resolución para abordar la crisis financiera y proteger los intereses de los depositantes y acreedores.";"[""[\\""http://www.sanmartin.edu.co/academicos_new/contaduria/diccionario/DICCIONARIO_DE_TERMINOS_CONTABLES_S-Z.doc\\""]"", ""[\\""http://eco-finanzas.com/conceptos.htm\\""]"", ""[\\""https://www.bde.es/wbe/es/areas-actuacion/resolucion/herramientas-resolucion/\\""]""]"
"requisito de liquidez";"El requisito de liquidez es un principio que establece que las entidades de crédito deben mantener un nivel mínimo de liquidez del 100% para atender las peticiones de retirada durante un período de 30 días.";"[""[\\""https://eur-lex.europa.eu/legal-content/ES/TXT/?uri=legissum:4370932\\""]"", ""[\\""https://eur-lex.europa.eu/legal-content/ES/TXT/?uri=legissum:4370932\\""]"", ""[\\""https://eur-lex.europa.eu/legal-content/ES/TXT/?uri=legissum:4370932\\""]""]"
"necesidad de liquidez";"La necesidad de liquidez se refiere a la obligación de las entidades de crédito de mantener un nivel mínimo de cobertura de liquidez del 100%, equivalente a la relación entre su colchón de liquidez y las salidas netas de liquidez a lo largo de 30 días, para atender las peticiones de retirada durante ese período.";"[""[\\""https://eur-lex.europa.eu/legal-content/ES/TXT/?uri=legissum:4370932\\""]"", ""[\\""https://eur-lex.europa.eu/legal-content/ES/TXT/?uri=legissum:4370932\\""]"", ""[\\""https://eur-lex.europa.eu/legal-content/ES/TXT/?uri=legissum:4370932\\""]""]"
