term;definition;source
tribología;"neologismo que designa el estudio del desgaste producido por la fricción; En cirugía, estudio y recolocación de las articulaciones dañadas; En mecánica, estudio y corrección del desgaste en todos los interfaces de fricción, tales como frenos, cojinetes, etc.";Glosario multilingüe de protección civil 1990,Grupo de Trabajo Comisión Europea/Estados Miembros
temperatura crítica;temperatura máxima superada la cual una sustancia deja de ser líquida sea cual sea su presión;Glosario multilingüe de protección civil 1990,Grupo de Trabajo Comisión Europea/Estados Miembros
tilio;excrecencia que obstruye los vasos;O.I.V., Lexique Vigne et Vin, Paris 1963
geometría diferencial;Estudio de la geometría usando las herramientas del análisis matemático.;"Wikipedia, <a href=""http://es.wikipedia.org/wiki/Geometr%C3%ADa_diferencial"" target=""_blank"">http://es.wikipedia.org/wiki/Geometr%C3%ADa_diferencial</a> [7.12.2012]"
plúmula;yema primaria del epicotilo de las semillas que da lugar al brote;TERMCAT
malas hierbas flotantes;malas hierbas que, no enraizadas en el suelo, flotan libremente en el agua, o bien enraizadas en los taludes o solera, flotan en una zona limitada;ICID-Comité Español de Riegos y Drenajes, 1977
vida media;el tiempo requerido para que la mitad de una sustancia radiactiva, en este caso radiocarbono que tiene un sistema vivo o un ecosistema, sea eliminada o desintegrada por procesos naturales;Kaennel/Schweingruber,Multilingual Glossary of Dendrochronology,WSL/Haupt,1995
peces sedentarios;especie de peces que limitan su desplazamiento sólo a la busca de alimentos;ICID-Comité Español de Riegos y Drenajes, 1977
coeficiente de primer orden;Coeficiente de pérdida de calor de un colector solar, expresado en W/(m² K);Documento interno ENER-2012-80051
kelvin;Unidad estándar de temperatura termodinámica, correspondiente a la temperatura Celsius.;Glosario multilingüe de protección civil 1990,Grupo de Trabajo Comisión Europea/Estados Miembros
diagnóstico foliar;estimación de las necesidades de las plantas en elementos nutritivos, basada en un análisis de las hojas;ICID-Comité Español de Riegos y Drenajes, 1977 
ajuste de elementos;el intervalo de aportación de un elemento indispensable en el cual un aumento de este elemento produce un crecimiento en el desarrollo de la planta. No aumenta el porcentaje del elemento en la planta;ICID-Comité Español de Riegos y Drenajes, 1977
energía del punto cero;energía cinética que conservan las moléculas de una sustancia a la temperatura del cero absoluto;TERMCAT
rastrojo;término usado para designar residuos de las cosechas tales como los tallos del trigo, algodón, mijo y sorgo, y en algunos sitios la paja de pequeños granos y la rama de semillas leguminosas; asimismo, las hojas secas de la patata, el retoño de heno y la parte no comestible de las leguminosas;Dicc técnico multilingüe de riegos y drenajes, MOPT, 1ªed, Madrid, 1977, p770 nº 12087
sopa de quarks;estado del universo, inmediatamente después del Big Bang, en el que no existía la materia tal y como hoy la conocemos, sino en una mezcla en partes casi iguales de materia, antimateria y radiación;El País, supl. Futuro. 16.02.00
capa vellosa;tejido superficial joven de las raíces, que produce los pelos absorbentes;ICID-Comité Español de Riegos y Drenajes, 1977
presión de turgencia;la presión hidrostática del sistema líquido en el interior de la célula vegetal;ICID-Comité Español de Riegos y Drenajes, 1977
función gaussiana;En estadística, la función gaussiana (en honor a Carl Friedrich Gauss) se utiliza en teoría de probabilidades como la función de densidad de la distribución normal.;Wikipedia, «función gaussiana», http://es.wikipedia.org/wiki/Funci%C3%B3n_gaussiana [28.1.2014]
módulo específico;Módulo de Young en pascales, equivalente a N/m2 divididos por el peso específico en N/m3, medido a una temperatura de (296 ± 2) K ((23 ± 2) °C) y a una humedad relativa del (50 ±5)%.;Reglamento (CE) n.º 428/2009 del Consejo, de 5 de mayo de 2009, por el que se establece un régimen comunitario de control de las exportaciones, la transferencia, el corretaje y el tránsito de productos de doble uso, CELEX:32009R0428/ES
vegetación mesofita;plantas que para su crecimiento evitan tanto la humedad como la sequedad extrema; plantas que se clasifican entre las hidrofitas y las xerofitas;ICID-Comité Español de Riegos y Drenajes, 1977
roedor salvaje;los roedores que han nacido y que viven en su medio natural;DO 1989 C 327/58
colineal;Se dice de dos entidades (puntos, vectores, etc.) que están en la misma recta.;COM-ES
precipitación en forma sólida;cantidad de nieve, granizo, aguanieve u otras precipitaciones en forma sólida, que llegan a la superficie de la tierra. Se puede expresar en milímetros (o pulgadas) de precipitación tal y como caen, o bien en milímetros (o pulgadas) de altura de su equivalente en agua;ICID-Comité Español de Riegos y Drenajes, 1977
anillos de Saturno;Sistema de 4 anillos planetarios, restos fósiles de una luna cubierta de hielo, que rodean al planeta Saturno.;COM-ES a partir de la Wikipedia, https://es.wikipedia.org/wiki/Anillos_de_Saturno [1.9.2015]
valor de base;valor de referencia de una característica funcional, obtenido inmediatamente después de una prueba de aceptación en una o en una serie de pruebas de constancia, que se utiliza como base para comparaciones y para la evaluación de resultados de las pruebas de constancia que se realicen posteriormente;Glosario CE-Garantía de calidad y protección radiológica en radiodiagnóstico, 1999
entomología;estudio científico de los insectos;http://es.wikipedia.org/wiki/Entomolog%C3%ADa
viscosidad absoluta;Relación entre la tensión de cizalladura (fuerza que actúa paralelamente a un plano envez de perpendicularmente) de un fluido y el gradiente de velocidad originado perpendicular al plano de cizalladura.;Diccionario de química física. J. M. Costa. Ediciones Díaz de Santos, Barcelona (España), 2005.
seda marina;filamentos que sirven de órgano de fijación a ciertos moluscos del género Pinna;Arancel Aduanero Notex CCD 50.00
erupción solar;fulguración que a veces se observa en el Sol en la proximidad de una mancha solar, fulguración que provoca la eyección de partículas;DANTERM 15028
luz tamizada;Luz con intensidad lumínica reducida;Procesadores gráficos para PC. Manuel Ujaldón Martínez. Editorial Ciencia-3, Madrid (España), 2005.
