term;definition;source;info_semantica
red para bicicletas;Conjunto de rutas para bicicletas constituidas por  carriles bici segregados, en calzada compartida con vehículos, en acera compartida con peatones.;"<div>COM-ES, basado en:</div><br> <a href=""https://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:32017R1926"" target=""_blank"">Reglamento Delegado (UE) 2017/1926 de la Comisión, de 31 de mayo de 2017, que complementa la Directiva 2010/40/UE del Parlamento Europeo y del Consejo en lo que se refiere al suministro de servicios de información sobre desplazamientos multimodales en toda la Unión<br></a>";Variants: red para bicicletas | Domains: land transport
informe de seguridad;documento que el solicitante o el concesionario de la licencia facilita al órgano reglamentador y que contiene la información relativa a la central nuclear, a su diseño, al análisis de accidentes, y a las disposiciones para reducir al mínimo el riesgo para la población y para el personal del emplazamiento;OIEA;Variants: informe de seguridad | Domains: land transport
punto de referencia del parabrisas;por puntos de referencia del parabrisas se entiende los puntos situados en la intersección con el parabrisas de las líneas que irradian hacia delante desde los puntos V hasta la superficie exterior del mismo;---;Variants: punto de referencia del parabrisas | Domains: land transport
automóviles particulares correspondientes a un modelo de la gama considerada en el acuerdo;"vehículos particulares: 1) que el constructor fabrique o monte en serie; 2) cuya carrocería sea de forma idéntica y cuyos trenes de rodamiento, grupo motopropulsor y tipo de motor, sean idénticos a los de las automóviles particulares de la gama considerada en el acuerdo";DOCE L 015,18.01.1985, p. 24;Variants: automóviles particulares correspondientes a un modelo de la gama considerada en el acuerdo | Domains: land transport
paso libre de rueda en la punta del corazón;Cota entre las caras activas de la pata de liebre del corazón y del contracarril opuesto, medida en el ancho de vía.;"Decisión de la Comisión, de 26 de abril de 2011, sobre la especificación técnica de interoperabilidad del subsistema de infraestructura del sistema ferroviario transeuropeo convencional, <a href=""http://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:32011D0275"" target=""_blank"">CELEX:32011D0275/ES</a>";Variants: paso libre de rueda en la punta del corazón | Domains: land transport
enganche articulado;los enganches podrán fijarse al remolque de tal modo que se puedan desplazar libremente en el plano vertical y no soporten ninguna carga vertical, enganche articulado, o bien estar fijados en el plano vertical de forma que soporten una carga vertical, enganche rígido;---;Variants: enganche articulado | Domains: land transport
autobús por teléfono;modalidad de servicio a la demanda en que una flota de microbuses controlados por radio desde un puesto central se manda a recoger a los usuarios que (en general por teléfono) lo han pedido a este puesto central indicando donde están y adónde quieren ir. El puesto central manda para atender a este pasajero, mediante un sistema manual o por ordenador, al microbús que menos debe desviarse de su ruta;Diccionario de transportes públicos urbanos y suburbanos, 1986;Variants: autobús por teléfono, transporte público por teléfono | Domains: land transport
tubería del breque;Tubería que transmite el freno a los distintos vehículos de una composición de tren en el sistema de freno neumático.;"<a href=""http://euroferroviarios.net/index.php?name=Reviews&amp;req=showcontent&amp;id=4783"" target=""_blank"">Euroferroviarios &gt; Glosario &gt; Tubería del freno.<time datetime=""22.3.2023""> (22.3.2023)</time></a>";Variants: cañería del breque, cañería del freno, tubería del breque, tubería del freno | Domains: land transport
servicio de lanzadera con alojamiento;los servicios de lanzadera con alojamiento proporcionarán, además del transporte, el alojamiento, con o sin comida, en el lugar de destino y, en su caso, durante el viaje, a por lo menos el 80 por ciento de los viajeros;Reglamento (CEE) N° 684/92 del Consejo , DOCE L 74/1992 2;Variants: servicio de lanzadera con alojamiento | Domains: land transport
canal de giro a la izquierda;carril reservado para movimientos de giro y señalizado específicamente;Diccionario Técnico Vial de la AIPCR, 1991;Variants: canal de giro a la izquierda, carril de giro, carril de giro a izquierda, carril de giro a la izquierda, carril de preselección de giro, carril de vuelta a izquierda, corredor de tránsito, pista de vuelta a izquierda, vía de giro a izquierda, vía de vuelta a izquierda | Domains: land transport
profesión de transportista de viajeros por carretera;la actividad de cualquier empresa que efectúe transportes de viajeros ofrecidos al público o a determinadas categorías de usuarios, mediante vehículos automóviles que, por su tipo de construcción y su equipamiento, sean aptos para transportar a más de nueve personas, incluido el conductor, y estén destinados a tal fin, a cambio de una remuneración pagada por la persona transportada o por el organizador del transporte;DOCE L 212,22.07.1989, p. 103;Variants: profesión de transportista de viajeros por carretera | Domains: land transport
camión cisterna;Chasis de camión sobre el cual se monta un depósito cilíndrico horizontal proyectado para el transporte de líquidos, productos químicos, gases, sólidos fundibles, lodos, emulsiones o sólidos fluidificables.;"Diccionario Español de Ingeniería, DEI, Real Academia de Ingeniería, Madrid, 2014, <a href=""http://diccionario.raing.es/es/lema/cami%C3%B3n-cisterna-0"" target=""_blank"">«camión cisterna»<time datetime=""25.7.2019""> (25.7.2019)</time></a>";Variants: camión cisterna, cisterna | Domains: TRANSPORT, petrol
plan de circulación vial;Medidas permanentes de gestión del tráfico diseñadas por los gestores del tráfico para controlar y ordenar los flujos de tráfico en respuesta a perturbaciones permanentes o recurrentes del tráfico.;"Reglamento Delegado (UE) nº …/.. de la Comisión de 18.12.2014 por el que se complementa la Directiva 2010/40/UE del Parlamento Europeo y del Consejo en lo que se refiere al suministro de servicios de información de tráfico en tiempo real en toda la Unión Europea, <a href=""http://ec.europa.eu/transport/themes/its/news/doc/2014-12-18-rtti/c(2014)9672_es.pdf"" target=""_blank"">http://ec.europa.eu/transport/themes/its/news/doc/2014-12-18-rtti/c(2014)9672_es.pdf</a> [25.4.2015]";Variants: plan de circulación vial | Domains: land transport
supercarretera;"una carretera especialmente concebida y construida para la circulación de automóviles a la que no tengan acceso las propiedades colindantes y que: a) conste de distintas calzadas para cada sentido de circulación, separadas entre sí, salvo en puntos singulares o con carácter temporal, por una franja de terreno no destinada a la circulación o, en casos excepcionales, por otros medios, b) no cruce a nivel ninguna otra senda, vía de ferrocarril ni de tranvía ni senda para circulación de peatones; c) esté señalizada específicamente como autopista";Directiva 93/89/CEE del Consejo, DO 1993 L 279/33;Variants: auto-ruta, autopista, supercarretera | Domains: land transport
aceleración máxima;máxima aceleración que es capaz de alcanzar un vehículo, como consecuencia de su sistema de propulsión, en vía o carretera horizontal sin carga de viajeros o mercancía y sin otros elementos o fuerzas externas que puedan tender a aumentarla o disminuirla, como por ejemplo el viento;Diccionario de transportes públicos urbanos y suburbanos, 1986;Variants: aceleración máxima, aceleración punta | Domains: land transport
asiento delantero para el pasajero;"cualquier asiento que, en su posición más avanzada, su ""punto H"" se encuentra en el plano vertical transversal que pasa por el punto R del conductor, o por delante del mismo";Directiva 90/628/CEE de la Comisión , DOCE L 341/1990 3;Variants: asiento delantero para el pasajero | Domains: land transport
caballete;sostén formado por un madero horizontal y cuatro tornapuntas arriostradas que le sirven de pie;TERMCAT;Variants: asnilla, borriquete, caballete | Domains: building and public works, land transport
camino de servicio;calzada paralela a una carretera de acceso limitado y cuyo objeto es conducir el tráfico a los accesos y servir a los edificios y fincas colindantes;Diccionario Técnico Vial de la AIPCR, 1991;Variants: calzada de servicio, calzada lateral, camino alimentador, camino auxiliar lateral, camino de servicio, camino lateral, camino marginal, vía de servicio | Domains: land transport
vía de carga;vía destinada al transbordo de las UTI;---;Variants: vía de carga | Domains: land transport
transporte público explotado por la administración;explotación del transporte de una ciudad, zona o línea por la propia administración (ayuntamiento de la ciudad) o un ente directamente dependiente de ella, y que forma parte de la misma;Diccionario de transportes públicos urbanos y suburbanos, 1986;Variants: transporte público explotado por la administración | Domains: land transport
calidad de servicio;"expresión utilizada para designar las condiciones de circulación generales ofrecidas al usuario o experimentadas por el mismo en una determinada vía o carretera en un instante dado; uno de los elementos que sirve para calificar el nivel de servicio es la velocidad práctica posible";Diccionario Técnico Vial de la AIPCR, 1991;Variants: calidad de servicio, nivel de servicio | Domains: land transport
franja ferroviaria;Capacidad de infraestructura necesaria para que un tren circule entre dos puntos en un momento dado.;"Directiva 2001/14/CE relativa a la adjudicación de la capacidad de infraestructura ferroviaria y la aplicación de cánones por su utilización ( <a href=""http://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:32001L0014"" target=""_blank"">CELEX:32001L0014/ES</a> )";Variants: franja, franja ferroviaria, ruta ferroviaria, surco, surco ferroviario | Domains: land transport | Note: Se trata de unidades cuya disponibilidad depende de factores como el número de vías disponibles, el sistema de señalización o la diferencia de velocidad entre trenes. El Administrador de Infraestructuras Ferroviarias (Adif) concede a los operadores el derecho de explotar un tramo de vía en un día, una hora y un sentido determinado.
tacometro;instrumento topográfico que sirve para medir rápidamente distancias, posiciones relativas y elevaciones de objetos distantes;PANAREDA, J.M, et al. Diccionari de cartografia, 1994;Variants: cuenta revoluciones, tacometro | Domains: land transport
compartimento para equipaje;Espacio del vehículo destinado al equipaje, delimitado por el techo, el capó, el suelo, los laterales, las puertas, así como la barrera y la envolvente destinadas a proteger el grupo motopropulsor del contacto directo con las partes activas, y que está separado del habitáculo para ocupantes por la mampara delantera o trasera.;"Reglamento n° 100 de la Comisión Económica de las Naciones Unidas para Europa (CEPE/ONU) — Disposiciones uniformes relativas a la homologación de vehículos en relación con los requisitos específicos del grupo motopropulsor eléctrico, <a href=""http://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:42011X0302(01)"" target=""_blank"">CELEX:42011X0302(01)/ES</a>";Variants: compartimento para equipaje | Domains: land transport
familia de vehículos;un agrupamiento, realizado por el fabricante, de vehículos a partir del supuesto, en razón de su diseño, de que sus emisiones de escape y sistema de DAB poseen características similares. Cada motor de está familia deberá haber cumplido los requisitos de la presente Directiva;DOCE C 77/1997;Variants: familia de vehículos | Domains: land transport, technology and technical regulations
punto de tangencia;punto en que empieza o termina una alineación curva que une dos rectas de un trazado poligonal o dos curvas de distintos radios;TERMCAT;Variants: punto de tangencia | Domains: land transport
puente móvil;puente que puede cambiar de posición para dar paso a la navegación, interrumpiendo el tráfico propio;TERMCAT;Variants: puente móvil | Domains: land transport
ciclo de velocidad objetivo;"Descripción de la velocidad del vehículo a la que quiere llegar el conductor o a la que está limitado por las condiciones del tráfico, como función de la distancia cubierta en un viaje;";"<a href=""https://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:32019R1242"" target=""_blank"">Reglamento (UE) 2019/1242 del Parlamento Europeo y del Consejo por el que se establecen normas de comportamiento en materia de emisiones de CO<sub>2 </sub>para vehículos pesados nuevos (DO L 198 de 25.7.2019, p. 202)</a>";Variants: ciclo de velocidad objetivo | Domains: land transport
carrocería en bruto;Estructura desnuda de la carroceríad e un automóvil normal, debidamente ensamblada y soldada, que puede estar formada por entre unas 200 a 400 piezas. según el tipo de vehículo.;"COM-ES a partir de: «FlexLean, Los robots desafían la mano de obra barata», <a href=""http://www.materialelectrico.com.co/pdf/ABB/04-2006/06-10%204M670_SPA72dpi.pdf"" target=""_blank"">http://www.materialelectrico.com.co/pdf/ABB/04-2006/06-10%204M670_SPA72dpi.pdf</a> [13.12.2017]";Variants: carrocería en blanco, carrocería en bruto | Domains: land transport
autoridad viaria;Autoridad pública responsable de la planificación, el control o la gestión de las carreteras en el ámbito territorial de su competencia.;"Reglamento Delegado (UE) nº …/.. de la Comisión de 18.12.2014 por el que se complementa la Directiva 2010/40/UE del Parlamento Europeo y del Consejo en lo que se refiere al suministro de servicios de información de tráfico en tiempo real en toda la Unión Europea, <a href=""http://ec.europa.eu/transport/themes/its/news/doc/2014-12-18-rtti/c(2014)9672_es.pdf"" target=""_blank"">http://ec.europa.eu/transport/themes/its/news/doc/2014-12-18-rtti/c(2014)9672_es.pdf</a> [25.4.2015]";Variants: autoridad viaria | Domains: land transport
velocidad de la línea;Velocidad máxima medida en kilómetros por hora para la que se ha diseñado una línea.;"Decisión de la Comisión, de 26 de abril de 2011, sobre la especificación técnica de interoperabilidad del subsistema de energía del sistema ferroviario transeuropeo convencional, <a href=""http://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:32011D0274"" target=""_blank"">CELEX:32011D0274/ES</a>";Variants: velocidad de la línea | Domains: land transport
unidad de material móvil;grupo de vehículos acoplados de modo permanente o semipermanente formando una unidad en el proceso de formación de trenes;Diccionario de transportes públicos urbanos y suburbanos, 1986;Variants: unidad de material móvil | Domains: land transport
vehículo de motor categoría M3;vehículos destinados al transporte de pasajeros que tengan, además del asiento del conductor, más de ocho plazas y en peso máximo superior a 5 toneladas métricas;DOCE C 33/1989 p. 10;Variants: vehículo de motor categoría M3 | Domains: TRANSPORT, land transport
itinerario;Documento en el que constan las instrucciones e incidencias de un viaje o transporte de personas o mercancías.;DRAE.;Variants: hoja de ruta, itinerario | Domains: TRANSPORT | Note: UPDATED: mit 06/05/2003
zona de estacionamiento;zona acondicionada en las proximidades de la calzada, que permite la parada o estacionamiento de un reducido número de vehículos fuera de los carriles de circulación;Diccionario Técnico Vial de la AIPCR, 1991;Variants: parqueadero, parqueo, zona de estacionamiento, zona de parada, zona de parqueo, área de estacionamiento | Domains: land transport
ruta de aprovisionamiento;Ruta empleada para transportar o allegar mercancías.;Consejo-ES;Variants: ruta de abastecimiento, ruta de aprovisionamiento, ruta de suministro | Domains: land transport | Note: En el caso de los productos esenciales, las rutas de suministro han de ser objeto de una protección que garantice su seguridad y su apertura permanente.
calle;vía entre edificios o solares en una población;TERMCAT;Variants: calle, vía urbana | Domains: land transport
carril;subdivisión o banda de la calzada que permite la circulación de una fila de vehículos, generalmente delimitada por líneas de marcas viales, balizas, conos, clavos, etc;Diccionario Técnico Vial de la AIPCR, 1991;Variants: canal de tránsito, carril, carril de tránsito, pista de tránsito, senda de tránsito, vía de tránsito | Domains: TRANSPORT, land transport
servicio regular;"los servicios regulares son aquellos que aseguran el transporte de personas con una frecuencia y un itinerario determinados; estos servicios pueden recoger y dejar viajeros en paradas previamente fijadas. Todo el mundo tiene acceso a ellos, aun cuando exista, en su caso, la obligación de reservar";Reglamento (CEE) N° 684/92 del Consejo , DOCE L 74/1992 2;Variants: servicio regular | Domains: TRANSPORT
vehículo articulado simple;vehículo con una sola articulación;Diccionario de transportes públicos urbanos y suburbanos, 1986;Variants: vehículo articulado simple | Domains: land transport
paseo;En una carretera, cada uno de los márgenes, no asfaltados, reservados a un lado y otro de la calzada para uso de peatones, tránsito de vehículos no automóviles, etc;DRAE;Variants: acotamiento, arcén sin afirmar, banquina, berma, espaldón, hombrillo, hombro sin afirmar, paseo | Domains: TRANSPORT, land transport
altura de segmento;Distancia máxima, medida en ángulo recto aproximadamente respecto a la luna de vidrio, entre la superficie interior de la luna y un plano que pasa por los extremos de la luna.;Reglamento nº 43 de la Comisión Económica para Europa de las Naciones Unidas (CEPE), Disposiciones uniformes relativas a la homologación de los materiales de acristalamiento de seguridad y su montaje en los vehículos (DO L 230 de 31.8.2010, p. 122).;Variants: altura de segmento | Domains: means of transport, technical regulations
tráfico pesado;cantidad de vehículos pesados que pasan por una sección de vía en un tiempo determinado;TERMCAT. Diccionari de trànsit (en curso de elaboración);Variants: tráfico pesado | Domains: land transport
zona de deformación;zona o parte del vehículo, situada generalmente en la parte delantera y trasera del mismo, proyectada para que en caso de choque se deforme absorbiendo la energía cinética, evitando así la deformación del habitáculo ocupado por los viajeros;Diccionario de transportes públicos urbanos y suburbanos, 1986;Variants: zona de absorción de impacto, zona de deformación | Domains: land transport
corredor de tránsito;carril reservado para movimientos de giro y señalizado específicamente;Diccionario Técnico Vial de la AIPCR, 1991;Variants: canal de giro a la izquierda, carril de giro, carril de giro a izquierda, carril de giro a la izquierda, carril de preselección de giro, carril de vuelta a izquierda, corredor de tránsito, pista de vuelta a izquierda, vía de giro a izquierda, vía de vuelta a izquierda | Domains: land transport
carril de tránsito;subdivisión o banda de la calzada que permite la circulación de una fila de vehículos, generalmente delimitada por líneas de marcas viales, balizas, conos, clavos, etc;Diccionario Técnico Vial de la AIPCR, 1991;Variants: canal de tránsito, carril, carril de tránsito, pista de tránsito, senda de tránsito, vía de tránsito | Domains: TRANSPORT, land transport
masa en orden de marcha;Resultado de sumar a la tara la masa estandard del conductor de 75 kg y, para los autobuses y autocares, la masa del acompañante de 75 kg si lo lleva;"Anexo IX, Masas y dimensiones, del Reglamento General de Vehículos <a href=""http://www.mir.es/SGACAVT/derecho/anexos/anexo09rd28221998.html"" target=""_blank"">http://www.mir.es/SGACAVT/derecho/anexos/anexo09rd28221998.html</a> (20.2.2009)";Variants: masa en orden de marcha | Domains: land transport, technical regulations
ruido de paso;Ruido producido por el contacto entre ruedas y carriles, que depende en gran parte de la velocidad.;"<div>COM-ES, a partir de:</div><div>Plataforma de contratación del sector público: <a href=""https://contrataciondelestado.es/wps/wcm/connect/8e9d7e0f-7855-4d7f-84a4-3fc09d48a4d2/001_0000544568_Ppt_anexo_3Pd.PDF?MOD=AJPERES"" target=""_blank"">Especificación técnica de interoperabilidad referente al subsistema «material rodante-ruido» del sistema ferroviario transeuropeo convencional.<time datetime=""15.2.2023""> (15.2.2023)</time></a><br></div>";Variants: ruido de paso | Domains: land transport
par de resistencia;Par necesario para superar la fricción interior de un eje cuando los extremos de la rueda giran libremente con un par de salida de 0 Nm.;Documento de trabajo de la Comisión Europea, GROW-2017-80062-02-03;Variants: par de resistencia | Domains: land transport
calzada de servicio;calzada paralela a una carretera de acceso limitado y cuyo objeto es conducir el tráfico a los accesos y servir a los edificios y fincas colindantes;Diccionario Técnico Vial de la AIPCR, 1991;Variants: calzada de servicio, calzada lateral, camino alimentador, camino auxiliar lateral, camino de servicio, camino lateral, camino marginal, vía de servicio | Domains: land transport
ATV;"Vehículo motorizado impulsado por un motor destinado primordialmente a moverse sobre superficies no pavimentadas con cuatro o más ruedas con neumáticos de baja presión, con un solo sillín para el conductor o bien con un sillín para el conductor y un asiento para un pasajero como máximo y dirección con manillar;";"<a href=""https://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:32016R1628"" target=""_blank"">Reglamento (UE) 2016/1628 del Parlamento Europeo y del Consejo sobre los requisitos relativos a los límites de emisiones de gases y partículas contaminantes y a la homologación de tipo para los motores de combustión interna que se instalen en las máquinas móviles no de carretera (DO L 252 de 16.9.2016, p. 53)</a>";Variants: ATV, vehículo todo terreno | Domains: means of transport
suceso de tráfico;Hecho significativo que se produce en una hora y lugar determinado y en el que están implicados un vehículo, una red de carreteras o un dispositivo de tráfico.;"COM-ES a partir del Glosario de IBM sobre transporte inteligente, <a href=""http://www-01.ibm.com/support/knowledgecenter/?lang=es#!/SSTMV4_1.6.0/transport/ref_glossary.dita"" target=""_blank"">http://www-01.ibm.com/support/knowledgecenter/?lang=es#!/SSTMV4_1.6.0/transport/ref_glossary.dita</a> [11.12.2014]";Variants: incidente de tráfico, suceso de tráfico | Domains: land transport
contraaguja;carril que forma parte de un cambio y que está colocado en el lado opuesto de la vía desde la aguja;Diccionario de transportes públicos urbanos y suburbanos, 1986;Variants: contraaguja, contracarril | Domains: land transport
EEM;Entidad encargada del mantenimiento de un vehículo y registrada como tal en el registro nacional de vehículos.;Directiva 2008/57/CE del Parlamento Europeo y del Consejo, de 17 de junio de 2008, sobre la interoperabilidad del sistema ferroviario dentro de la Comunidad CELEX:32008L0057/ES;
adherencia;resistencia que se opone al deslizamiento de las ruedas de un vehículo sobre los carriles;MILÀ, R. Terminologia ferroviària: material rodant, 1993;
taxi colectivo;taxi compartido por dos o más pasajeros, no necesariamente desde el origen, pues pueden tener diferentes orígenes y/o trayectos. El taxi puede o no pertenecer al servicio oficial de taxis;Diccionario de transportes públicos urbanos y suburbanos, 1986;Variants: taxi colectivo | Domains: land transport
Asociación Internacional de Fabricantes de Motocicletas;---;"Lista de organizaciones no gubernamentales reconocidas como entidades consultivas por el Consejo Económico y Social de las Naciones Unidas al 31 de agosto de 2005 (E/2005/INF.5)Propuesta de directiva del Parlamento Europeo y del Consejo por la que se modifica la Directiva 97/24/CE del Parlamento Europeo y del Consejo relativa a determinados elementos y características de los vehículos de motor de dos o tres ruedas <a href=""http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:52000PC0314:ES:NOT"" target=""_blank"">http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:52000PC0314:ES:NOT</a>";Variants: Asociación Internacional de Fabricantes de Motocicletas, IMMA | Domains: land transport
tren para servicio suburbano;tren especialmente previsto para transportar grandes masas de viajeros que habitan en la periferia de la ciudad y se dirigen cada día a ella para trabajo o estudio. En general está formado por un tren de unidades múltiples con muchos ejes motores a fin de lograr fuertes aceleraciones y de alcanzar alta velocidad comercial a pesar de las frecuentes paradas;Diccionario de transportes públicos urbanos y suburbanos, 1986;Variants: tren de cercanías, tren para servicio suburbano | Domains: land transport
neumatico;elemento elástico de forma toroidal formado por una envoltura deformable de caucho vulcanizado (cubierta) que contiene un fluido a presión (generalmente aire) y que, acoplado a la llanta, constituye la rueda de numerosos tipos de vehículo;Gran enciclopedia Larousse, 1988;Variants: Neumaticos, neumatico | Domains: land transport
balasto;Material granular pétreo, silíceo o calizo, sobre el que asientan las traviesas.;COM-ES a partir de la base de datos de terminología ferroviaria RailLexic 4.0;Variants: balasto | Domains: land transport
carril continuo;vía ferroviaria en la que los carriles están soldados unos a continuación de los otros, sin puntos de discontinuidad o con un número mínimo de ellos (cambios de vía y juntas de dilatación);Diccionario de transportes públicos urbanos y suburbanos, 1986;Variants: barra soldada, carril continuo | Domains: land transport
IMMA;---;"Lista de organizaciones no gubernamentales reconocidas como entidades consultivas por el Consejo Económico y Social de las Naciones Unidas al 31 de agosto de 2005 (E/2005/INF.5)Propuesta de directiva del Parlamento Europeo y del Consejo por la que se modifica la Directiva 97/24/CE del Parlamento Europeo y del Consejo relativa a determinados elementos y características de los vehículos de motor de dos o tres ruedas <a href=""http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:52000PC0314:ES:NOT"" target=""_blank"">http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:52000PC0314:ES:NOT</a>";Variants: Asociación Internacional de Fabricantes de Motocicletas, IMMA | Domains: land transport
posición del cambio de vía;señala la posición enclavada del cambio de vía;Diccionario de transportes públicos urbanos y suburbanos, 1986;Variants: posición de la aguja, posición del cambio de vía | Domains: land transport
