term;definition;source
calidad de servicio;"expresión utilizada para designar las condiciones de circulación generales ofrecidas al usuario o experimentadas por el mismo en una determinada vía o carretera en un instante dado; uno de los elementos que sirve para calificar el nivel de servicio es la velocidad práctica posible";Diccionario Técnico Vial de la AIPCR, 1991
franja ferroviaria;Capacidad de infraestructura necesaria para que un tren circule entre dos puntos en un momento dado.;"Directiva 2001/14/CE relativa a la adjudicación de la capacidad de infraestructura ferroviaria y la aplicación de cánones por su utilización ( <a href=""http://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:32001L0014"" target=""_blank"">CELEX:32001L0014/ES</a> )"
tacometro;instrumento topográfico que sirve para medir rápidamente distancias, posiciones relativas y elevaciones de objetos distantes;PANAREDA, J.M, et al. Diccionari de cartografia, 1994
compartimento para equipaje;Espacio del vehículo destinado al equipaje, delimitado por el techo, el capó, el suelo, los laterales, las puertas, así como la barrera y la envolvente destinadas a proteger el grupo motopropulsor del contacto directo con las partes activas, y que está separado del habitáculo para ocupantes por la mampara delantera o trasera.;"Reglamento n° 100 de la Comisión Económica de las Naciones Unidas para Europa (CEPE/ONU) — Disposiciones uniformes relativas a la homologación de vehículos en relación con los requisitos específicos del grupo motopropulsor eléctrico, <a href=""http://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:42011X0302(01)"" target=""_blank"">CELEX:42011X0302(01)/ES</a>"
familia de vehículos;un agrupamiento, realizado por el fabricante, de vehículos a partir del supuesto, en razón de su diseño, de que sus emisiones de escape y sistema de DAB poseen características similares. Cada motor de está familia deberá haber cumplido los requisitos de la presente Directiva;DOCE C 77/1997
punto de tangencia;punto en que empieza o termina una alineación curva que une dos rectas de un trazado poligonal o dos curvas de distintos radios;TERMCAT
puente móvil;puente que puede cambiar de posición para dar paso a la navegación, interrumpiendo el tráfico propio;TERMCAT
ciclo de velocidad objetivo;"Descripción de la velocidad del vehículo a la que quiere llegar el conductor o a la que está limitado por las condiciones del tráfico, como función de la distancia cubierta en un viaje;";"<a href=""https://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:32019R1242"" target=""_blank"">Reglamento (UE) 2019/1242 del Parlamento Europeo y del Consejo por el que se establecen normas de comportamiento en materia de emisiones de CO<sub>2 </sub>para vehículos pesados nuevos (DO L 198 de 25.7.2019, p. 202)</a>"
carrocería en bruto;Estructura desnuda de la carroceríad e un automóvil normal, debidamente ensamblada y soldada, que puede estar formada por entre unas 200 a 400 piezas. según el tipo de vehículo.;"COM-ES a partir de: «FlexLean, Los robots desafían la mano de obra barata», <a href=""http://www.materialelectrico.com.co/pdf/ABB/04-2006/06-10%204M670_SPA72dpi.pdf"" target=""_blank"">http://www.materialelectrico.com.co/pdf/ABB/04-2006/06-10%204M670_SPA72dpi.pdf</a> [13.12.2017]"
autoridad viaria;Autoridad pública responsable de la planificación, el control o la gestión de las carreteras en el ámbito territorial de su competencia.;"Reglamento Delegado (UE) nº …/.. de la Comisión de 18.12.2014 por el que se complementa la Directiva 2010/40/UE del Parlamento Europeo y del Consejo en lo que se refiere al suministro de servicios de información de tráfico en tiempo real en toda la Unión Europea, <a href=""http://ec.europa.eu/transport/themes/its/news/doc/2014-12-18-rtti/c(2014)9672_es.pdf"" target=""_blank"">http://ec.europa.eu/transport/themes/its/news/doc/2014-12-18-rtti/c(2014)9672_es.pdf</a> [25.4.2015]"
velocidad de la línea;Velocidad máxima medida en kilómetros por hora para la que se ha diseñado una línea.;"Decisión de la Comisión, de 26 de abril de 2011, sobre la especificación técnica de interoperabilidad del subsistema de energía del sistema ferroviario transeuropeo convencional, <a href=""http://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:32011D0274"" target=""_blank"">CELEX:32011D0274/ES</a>"
unidad de material móvil;grupo de vehículos acoplados de modo permanente o semipermanente formando una unidad en el proceso de formación de trenes;Diccionario de transportes públicos urbanos y suburbanos, 1986
vehículo de motor categoría M3;vehículos destinados al transporte de pasajeros que tengan, además del asiento del conductor, más de ocho plazas y en peso máximo superior a 5 toneladas métricas;DOCE C 33/1989 p. 10
itinerario;Documento en el que constan las instrucciones e incidencias de un viaje o transporte de personas o mercancías.;DRAE.
zona de estacionamiento;zona acondicionada en las proximidades de la calzada, que permite la parada o estacionamiento de un reducido número de vehículos fuera de los carriles de circulación;Diccionario Técnico Vial de la AIPCR, 1991
ruta de aprovisionamiento;Ruta empleada para transportar o allegar mercancías.;Consejo-ES
calle;vía entre edificios o solares en una población;TERMCAT
carril;subdivisión o banda de la calzada que permite la circulación de una fila de vehículos, generalmente delimitada por líneas de marcas viales, balizas, conos, clavos, etc;Diccionario Técnico Vial de la AIPCR, 1991
servicio regular;"los servicios regulares son aquellos que aseguran el transporte de personas con una frecuencia y un itinerario determinados; estos servicios pueden recoger y dejar viajeros en paradas previamente fijadas. Todo el mundo tiene acceso a ellos, aun cuando exista, en su caso, la obligación de reservar";Reglamento (CEE) N° 684/92 del Consejo , DOCE L 74/1992 2
vehículo articulado simple;vehículo con una sola articulación;Diccionario de transportes públicos urbanos y suburbanos, 1986
paseo;En una carretera, cada uno de los márgenes, no asfaltados, reservados a un lado y otro de la calzada para uso de peatones, tránsito de vehículos no automóviles, etc;DRAE
altura de segmento;Distancia máxima, medida en ángulo recto aproximadamente respecto a la luna de vidrio, entre la superficie interior de la luna y un plano que pasa por los extremos de la luna.;Reglamento nº 43 de la Comisión Económica para Europa de las Naciones Unidas (CEPE), Disposiciones uniformes relativas a la homologación de los materiales de acristalamiento de seguridad y su montaje en los vehículos (DO L 230 de 31.8.2010, p. 122).
tráfico pesado;cantidad de vehículos pesados que pasan por una sección de vía en un tiempo determinado;TERMCAT. Diccionari de trànsit (en curso de elaboración)
zona de deformación;zona o parte del vehículo, situada generalmente en la parte delantera y trasera del mismo, proyectada para que en caso de choque se deforme absorbiendo la energía cinética, evitando así la deformación del habitáculo ocupado por los viajeros;Diccionario de transportes públicos urbanos y suburbanos, 1986
corredor de tránsito;carril reservado para movimientos de giro y señalizado específicamente;Diccionario Técnico Vial de la AIPCR, 1991
carril de tránsito;subdivisión o banda de la calzada que permite la circulación de una fila de vehículos, generalmente delimitada por líneas de marcas viales, balizas, conos, clavos, etc;Diccionario Técnico Vial de la AIPCR, 1991
masa en orden de marcha;Resultado de sumar a la tara la masa estandard del conductor de 75 kg y, para los autobuses y autocares, la masa del acompañante de 75 kg si lo lleva;"Anexo IX, Masas y dimensiones, del Reglamento General de Vehículos <a href=""http://www.mir.es/SGACAVT/derecho/anexos/anexo09rd28221998.html"" target=""_blank"">http://www.mir.es/SGACAVT/derecho/anexos/anexo09rd28221998.html</a> (20.2.2009)"
ruido de paso;Ruido producido por el contacto entre ruedas y carriles, que depende en gran parte de la velocidad.;"<div>COM-ES, a partir de:</div><div>Plataforma de contratación del sector público: <a href=""https://contrataciondelestado.es/wps/wcm/connect/8e9d7e0f-7855-4d7f-84a4-3fc09d48a4d2/001_0000544568_Ppt_anexo_3Pd.PDF?MOD=AJPERES"" target=""_blank"">Especificación técnica de interoperabilidad referente al subsistema «material rodante-ruido» del sistema ferroviario transeuropeo convencional.<time datetime=""15.2.2023""> (15.2.2023)</time></a><br></div>"
par de resistencia;Par necesario para superar la fricción interior de un eje cuando los extremos de la rueda giran libremente con un par de salida de 0 Nm.;Documento de trabajo de la Comisión Europea, GROW-2017-80062-02-03
calzada de servicio;calzada paralela a una carretera de acceso limitado y cuyo objeto es conducir el tráfico a los accesos y servir a los edificios y fincas colindantes;Diccionario Técnico Vial de la AIPCR, 1991
ATV;"Vehículo motorizado impulsado por un motor destinado primordialmente a moverse sobre superficies no pavimentadas con cuatro o más ruedas con neumáticos de baja presión, con un solo sillín para el conductor o bien con un sillín para el conductor y un asiento para un pasajero como máximo y dirección con manillar;";"<a href=""https://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:32016R1628"" target=""_blank"">Reglamento (UE) 2016/1628 del Parlamento Europeo y del Consejo sobre los requisitos relativos a los límites de emisiones de gases y partículas contaminantes y a la homologación de tipo para los motores de combustión interna que se instalen en las máquinas móviles no de carretera (DO L 252 de 16.9.2016, p. 53)</a>"
suceso de tráfico;Hecho significativo que se produce en una hora y lugar determinado y en el que están implicados un vehículo, una red de carreteras o un dispositivo de tráfico.;"COM-ES a partir del Glosario de IBM sobre transporte inteligente, <a href=""http://www-01.ibm.com/support/knowledgecenter/?lang=es#!/SSTMV4_1.6.0/transport/ref_glossary.dita"" target=""_blank"">http://www-01.ibm.com/support/knowledgecenter/?lang=es#!/SSTMV4_1.6.0/transport/ref_glossary.dita</a> [11.12.2014]"
contraaguja;carril que forma parte de un cambio y que está colocado en el lado opuesto de la vía desde la aguja;Diccionario de transportes públicos urbanos y suburbanos, 1986
EEM;Entidad encargada del mantenimiento de un vehículo y registrada como tal en el registro nacional de vehículos.;Directiva 2008/57/CE del Parlamento Europeo y del Consejo, de 17 de junio de 2008, sobre la interoperabilidad del sistema ferroviario dentro de la Comunidad CELEX:32008L0057/ES
adherencia;resistencia que se opone al deslizamiento de las ruedas de un vehículo sobre los carriles;MILÀ, R. Terminologia ferroviària: material rodant, 1993
taxi colectivo;taxi compartido por dos o más pasajeros, no necesariamente desde el origen, pues pueden tener diferentes orígenes y/o trayectos. El taxi puede o no pertenecer al servicio oficial de taxis;Diccionario de transportes públicos urbanos y suburbanos, 1986
Asociación Internacional de Fabricantes de Motocicletas;---;"Lista de organizaciones no gubernamentales reconocidas como entidades consultivas por el Consejo Económico y Social de las Naciones Unidas al 31 de agosto de 2005 (E/2005/INF.5)Propuesta de directiva del Parlamento Europeo y del Consejo por la que se modifica la Directiva 97/24/CE del Parlamento Europeo y del Consejo relativa a determinados elementos y características de los vehículos de motor de dos o tres ruedas <a href=""http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:52000PC0314:ES:NOT"" target=""_blank"">http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:52000PC0314:ES:NOT</a>"
tren para servicio suburbano;tren especialmente previsto para transportar grandes masas de viajeros que habitan en la periferia de la ciudad y se dirigen cada día a ella para trabajo o estudio. En general está formado por un tren de unidades múltiples con muchos ejes motores a fin de lograr fuertes aceleraciones y de alcanzar alta velocidad comercial a pesar de las frecuentes paradas;Diccionario de transportes públicos urbanos y suburbanos, 1986
neumatico;elemento elástico de forma toroidal formado por una envoltura deformable de caucho vulcanizado (cubierta) que contiene un fluido a presión (generalmente aire) y que, acoplado a la llanta, constituye la rueda de numerosos tipos de vehículo;Gran enciclopedia Larousse, 1988
balasto;Material granular pétreo, silíceo o calizo, sobre el que asientan las traviesas.;COM-ES a partir de la base de datos de terminología ferroviaria RailLexic 4.0
carril continuo;vía ferroviaria en la que los carriles están soldados unos a continuación de los otros, sin puntos de discontinuidad o con un número mínimo de ellos (cambios de vía y juntas de dilatación);Diccionario de transportes públicos urbanos y suburbanos, 1986
IMMA;---;"Lista de organizaciones no gubernamentales reconocidas como entidades consultivas por el Consejo Económico y Social de las Naciones Unidas al 31 de agosto de 2005 (E/2005/INF.5)Propuesta de directiva del Parlamento Europeo y del Consejo por la que se modifica la Directiva 97/24/CE del Parlamento Europeo y del Consejo relativa a determinados elementos y características de los vehículos de motor de dos o tres ruedas <a href=""http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:52000PC0314:ES:NOT"" target=""_blank"">http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:52000PC0314:ES:NOT</a>"
posición del cambio de vía;señala la posición enclavada del cambio de vía;Diccionario de transportes públicos urbanos y suburbanos, 1986
alternador;"1) Tipo de generador eléctrico <a href=""/entry/result/1372837/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:1372837</a> destinado a transformar la energía mecánica en eléctrica.<br>2) Generador de corriente alterna <a href=""/entry/result/1372745/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:1372745</a> .";"1) ENDESA: Centrales hidroeléctricas <a href=""http://www.endesaeduca.com/Endesa_educa/recursos-interactivos/produccion-de-electricidad/xi.-las-centrales-hidroelectricas"" target=""_blank"">http://www.endesaeduca.com/Endesa_educa/recursos-interactivos/produccion-de-electricidad/xi.-las-centrales-hidroelectricas</a><br>2) Arancel Aduanero Notex CCD 85.01<br>3) Universidad del País Vasco, Física: Generador de corriente alterna <a href=""http://www.sc.ehu.es/sbweb/fisica/elecmagnet/induccion/generador/generador.htm"" target=""_blank"">http://www.sc.ehu.es/sbweb/fisica/elecmagnet/induccion/generador/generador.htm</a>"
viga oscilante;Viga situada transversalmente al sentido longitudinal del tren que soporta directamente en su punto central el peso de la caja del vehículo ferroviario, a través de un pivote o placa colocada debajo de ésta.;Diccionario de transportes públicos urbanos y suburbanos, 1986.
coche de metro;coche con motor eléctrico para circular en ferrocarriles subterráneos;Diccionario de transportes públicos urbanos y suburbanos, 1986
Shinkansen;tren de alta velocidad japonés;Investigación y Ciencia,Noviembre 1995
autopista;carretera con limitación de accesos y cuyo uso puede ser prohibido a ciertas clases de usuarios y de vehículos;Diccionario Técnico Vial de la AIPCR, 1991
peso en vacío;Peso del continente de una mercancía o género, vehículo, caja, vasija, etc., que se rebaja en la pesada total con el contenido.;"Dicc. de la RAI (ámbito de los transportes intermodales),<br> <a href=""http://diccionario.raing.es/es/lema/tara-0"" target=""_blank"">http://diccionario.raing.es/es/lema/tara-0</a> [15.9.2017]"
regulación de la circulación;conjunto de disposiciones diseñadas para controlar el tráfico con el objetivo de mejorar las condiciones de la vía y de evitar conflictos entre sus usuarios;TERMCAT. Diccionari de trànsit (en curso de elaboración)
accesibilidad;"medida, generalmente en términos de tiempo, de la aptitud de una red para permitir penetrar en una zona de actividad(1); índice de facilidad relativa del viaje entre dos o más puntos o áreas en el que intervienen la distancia, tiempo, coste y confort del viaje. Expresa en una sola magnitud el coste de un viaje a fin de poderlo aplicar a una probabilidad de realización de tal viaje. En modelos de transporte origen-destino, suma de los tiempos generalizados de viaje desde una zona a otra de una región ponderados con la atracción de las zonas de destino correspondientes(2)";Diccionario Técnico Vial de la AIPCR, 1991
suceso estático;"Incidente o suceso de tráfico [ <a href=""/entry/result/3549279/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:3549279</a> ] localizado en una posición determinada.";COM-ES
fin de autorización;Ubicación hasta la que un tren ETCS está autorizado a desplazarse y en la que la velocidad objetivo equivale a cero.;"<div>Agencia Ferroviaria Europea: <a href=""https://www.era.europa.eu/system/files/2022-11/Appendix%20A%20to%20TSI%20OPE%20(EN)%20-%20ES.pdf"" target=""_blank"">Apéndice A al Pliego de condiciones técnicas «Explotación y gestión del tráfico», Principios y normas de explotación del ERMTS (ETCS 3.3.0 y GSM-R 7.0).<time datetime=""13.2.2023""> (13.2.2023)</time></a><br></div>"
MA;Permiso dado a un tren para que se desplace a una ubicación específica con supervisión de la velocidad.;Principios y normas de explotación del ERMTS de la Agencia Ferroviaria de la Unión Europea
carril de giro;carril reservado para movimientos de giro y señalizado específicamente;Diccionario Técnico Vial de la AIPCR, 1991
estación de destino;estación en la cual un determinado pasajero abandona el sistema de transporte público;Diccionario de transportes públicos urbanos y suburbanos, 1986
modo de combustible dual;Modo de funcionamiento normal de un motor de combustible dual durante el cual el motor utiliza simultáneamente combustible líquido y combustible gaseoso en algunas de sus condiciones de funcionamiento; REGLAMENTO DELEGADO (UE) 2017/654 DE LA COMISIÓN de 19 de diciembre de 2016 que complementa el Reglamento (UE) 2016/1628 del Parlamento Europeo y del Consejo por lo que respecta a los requisitos técnicos y generales relativos a los límites de emisiones y a la homologación de tipo de los motores de combustión interna destinados a las máquinas móviles no de carretera
señal de bloqueo;señal fija instalada antes de la entrada en un cantón y que gobierna el paro de trenes según estén ocupados o no los cantones siguientes;Dic. transportes públicos urbanos y suburbanos, 1986
servicio de vagón completo;Servicio de transporte ferroviario en el que el cliente compra a la empresa ferroviaria el transporte de al menos un vagón, en un tren compuesto por la empresa ferroviaria, programado por la empresa ferroviaria, propuesto a varios clientes y facturado por la empresa ferroviaria a cada uno de ellos;Propuesta de Reglamento relativo a las indemnizaciones por incumplimiento de los requisitos contractuales decalidad en los servicios de transporte de mercancías por ferrocarril
transporte de larga distancia;Movilización de mercancías por tierra, mar o aire a una distancia superior a 600 kilómetros.;Parlamento-ES, a partir de: Transvolando >Transporte de mercancías de larga distancia (27.10.2022)
corriente de circulación;Tráfico de una vía con sentido único;Diccionario Español de la Ingeniería, (DEI)
estacionamiento de disuasión;lugar emplazado en la periferia de una población o en un punto adecuado fuera de su centro, bien conectado con los medios de transporte público y debidamente acondicionado para el estacionamiento de vehículos, que se ofrece como alternativa al uso del vehículo privado, para disminuir la congestión de la circulación en las poblaciones o grandes aglomeraciones;Diccionario Técnico Vial de la AIPCR, 1991
tacómetro;instrumento topográfico que sirve para medir rápidamente distancias, posiciones relativas y elevaciones de objetos distantes;PANAREDA, J.M, et al. Diccionari de cartografia, 1994
paso libre de rueda en el cambio;Cota desde el borde activo de una aguja a la cara de acoplamiento (borde no activo) de la aguja opuesta, medida en ancho de vía.;Decisión de la Comisión, de 26 de abril de 2011, sobre la especificación técnica de interoperabilidad del subsistema de infraestructura del sistema ferroviario transeuropeo convencional, CELEX:32011D0275/ES
marcha en pelotón;acumulación de vehículos, debida a cualquier circunstancia, en un espacio o tiempo de forma que queden más cercanos, en una de estas dos dimensiones con respecto a los planes de circulación previstos. Normalmente conjunto de vehículos a un intervalo menor del previsto por horario;Diccionario transportes públicos urbanos y suburbanos, 1986
